Asset,Ticker,Sleeve,Internal Weight,Raw Sleeve Weight,Target Weight,Effective Weight,Daily Exposure,Target Weight %,Effective Weight %,Date,Strategy,Last Exposure Date,Signal Source Close Date
ADVANC.BK,ADVANC.BK,TH Equity,0.06890675346246634,0.19999999999999998,0.013781350692493267,0.013781350692493267,1.0,1.3781350692493266,1.3781350692493266,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
PTTEP.BK,PTTEP.BK,TH Equity,0.06571708463863389,0.19999999999999998,0.013143416927726777,0.013143416927726777,1.0,1.3143416927726776,1.3143416927726776,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
BDMS.BK,BDMS.BK,TH Equity,0.05938653852358466,0.19999999999999998,0.01187730770471693,0.01187730770471693,1.0,1.187730770471693,1.187730770471693,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
TRUE.BK,TRUE.BK,TH Equity,0.05933319213695952,0.19999999999999998,0.011866638427391904,0.011866638427391904,1.0,1.1866638427391905,1.1866638427391905,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
KTB.BK,KTB.BK,TH Equity,0.05680534475243151,0.19999999999999998,0.011361068950486301,0.011361068950486301,1.0,1.1361068950486302,1.1361068950486302,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
CPF.BK,CPF.BK,TH Equity,0.052399378741066586,0.19999999999999998,0.010479875748213316,0.010479875748213316,1.0,1.0479875748213316,1.0479875748213316,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
KTC.BK,KTC.BK,TH Equity,0.04279876802670406,0.19999999999999998,0.00855975360534081,0.00855975360534081,1.0,0.8559753605340811,0.8559753605340811,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
JPM,JPM,US Equity,0.03999999999999828,0.19999999999999998,0.007999999999999655,0.007999999999999655,1.0,0.7999999999999655,0.7999999999999655,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
CPALL.BK,CPALL.BK,TH Equity,0.03107598171013839,0.19999999999999998,0.006215196342027678,0.006215196342027678,1.0,0.6215196342027678,0.6215196342027678,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
BH.BK,BH.BK,TH Equity,0.030659421582102678,0.19999999999999998,0.006131884316420535,0.006131884316420535,1.0,0.6131884316420535,0.6131884316420535,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
MINT.BK,MINT.BK,TH Equity,0.02119290520819604,0.19999999999999998,0.004238581041639208,0.004238581041639208,1.0,0.4238581041639208,0.4238581041639208,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
AOT.BK,AOT.BK,TH Equity,0.019780499906318614,0.19999999999999998,0.0039560999812637224,0.0039560999812637224,1.0,0.39560999812637226,0.39560999812637226,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
CPN.BK,CPN.BK,TH Equity,0.018366294112593166,0.19999999999999998,0.0036732588225186326,0.0036732588225186326,1.0,0.36732588225186324,0.36732588225186324,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
HMPRO.BK,HMPRO.BK,TH Equity,0.009286352318229073,0.19999999999999998,0.0018572704636458143,0.0018572704636458143,1.0,0.18572704636458143,0.18572704636458143,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
DELTA.BK,DELTA.BK,TH Equity,0.0017280831689176182,0.19999999999999998,0.00034561663378352363,0.00034561663378352363,1.0,0.03456166337835236,0.03456166337835236,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
SCC.BK,SCC.BK,TH Equity,0.00014890427638823052,0.19999999999999998,2.9780855277646102e-05,2.9780855277646102e-05,1.0,0.0029780855277646103,0.0029780855277646103,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
BTC-USD,BTC-USD,BTC,1.0,0.1,0.1,0.0,0.0,10.0,0.0,2026-06-17,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-17,2026-06-16
