Strategy,Date,TH Signal On,US Count,TH Count,US Group Cap,TH Group Cap,Stock Cap,Concentration Penalty,US Weight,TH Weight,Gold Weight,BTC Weight,Cash Weight,Raw Max Stock Weight,Case
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2011-11-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000003,0.0,0.29999999999999977,0.0,0.0,0.05,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2011-12-30,True,50,50,0.7,0.3,0.05,0.02,0.7,0.2999999999999997,2.522190219219561e-16,0.0,0.0,0.04999999999999988,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2012-01-31,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999987,0.29999999999999927,2.070254258564838e-15,0.0,0.0,0.04999999999999987,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2012-02-29,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999965,0.3000000000000007,2.8800708309375463e-15,0.0,0.0,0.04999999999999978,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2012-03-30,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999964,0.3000000000000034,0.0,0.0,0.0,0.049999999999999815,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2012-04-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000005,0.0,0.29999999999999954,0.0,0.0,0.049999999999999926,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2012-05-31,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999982,0.30000000000000193,0.0,0.0,0.0,0.049999999999999725,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2012-06-29,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000003,0.0,0.29999999999999954,0.0,0.0,0.049999999999999926,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2012-07-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000004,0.0,0.2999999999999996,0.0,0.0,0.04999999999999993,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2012-08-31,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999986,0.30000000000000143,0.0,0.0,0.0,0.049999999999999795,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2012-09-28,True,50,50,0.7,0.3,0.05,0.02,0.7000000000000011,0.29999999999999855,1.5980668957273884e-16,0.0,0.0,0.04999999999999987,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2012-10-31,True,50,50,0.7,0.3,0.05,0.02,0.699999999999996,0.3000000000000039,3.2956105186034877e-16,0.0,0.0,0.049999999999999746,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2012-11-30,True,50,50,0.7,0.3,0.05,0.02,0.7000000000000014,0.29999999999999793,6.625017530464786e-16,0.0,0.0,0.049999999999999815,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2012-12-31,True,50,50,0.7,0.3,0.05,0.02,0.7000000000000011,0.29999999999999827,6.782519441973855e-16,0.0,0.0,0.04999999999999967,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2013-01-31,True,50,50,0.7,0.3,0.05,0.02,0.699999999999997,0.3000000000000012,1.719616328411676e-15,0.0,0.0,0.04999999999999974,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2013-02-28,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999951,0.3000000000000052,0.0,0.0,0.0,0.0499999999999995,Stock cap 5%
