,AAPL,ADBE,ADVANC.BK,AMD,AMZN,AOT.BK,AVGO,BA,BAC,BANPU.BK,BBL.BK,BDMS.BK,BEM.BK,BGRIM.BK,BH.BK,BRK-B,C,CBG.BK,CPALL.BK,CPF.BK,CPN.BK,CRM,DELTA.BK,DIS,EA.BK,GOOG,GOOGL,GPSC.BK,HD,HMPRO.BK,INTC,IVL.BK,JNJ,JPM,KBANK.BK,KCE.BK,KTB.BK,MA,META,MINT.BK,MSFT,MTC.BK,MU,NFLX,NVDA,PTT.BK,PTTEP.BK,PTTGC.BK,QCOM,SAWAD.BK,SCC.BK,TOP.BK,TRUE.BK,TSLA,TTB.BK,UNH,V,WFC,WMT,XOM
2020-02-28,0.059999999999999956,0.059999999999999935,0.0,0.059999999999999956,0.059999999999999956,9.002699878357468e-17,0.0,0.0,1.1753210838105261e-16,2.1764017315726504e-17,0.0,0.0,3.8512201535692405e-17,9.011846474767258e-18,0.0,1.5933670825487223e-18,4.116188544611637e-18,0.0,3.454366157334978e-17,1.5081992491231603e-16,1.0856225297332756e-17,0.059999999999999686,0.05999999999999992,2.996251915330582e-17,3.000744261168268e-17,0.059999999999999824,0.059999999999999956,0.0,0.04000000000000015,2.9933015076300136e-17,2.3272644864819305e-16,0.0,3.426126736417623e-17,0.0,0.0,0.059999999999999956,0.0,0.059999999999999956,1.9001074362996576e-16,0.0,0.059999999999999894,2.909304519368738e-19,0.059999999999999956,0.059999999999999956,0.059999999999999956,4.842914852109015e-17,0.0,0.0,5.432374177377581e-17,0.05999999999999988,0.0,0.0,7.6864699110924e-17,0.05999999999999993,0.0,0.0,6.245004513516502e-17,0.0,0.0,5.133239929147898e-17
2020-03-31,0.046674917353177324,0.05999999999999988,0.059999999999999915,0.05999999999999989,0.059999999999999915,0.0,2.0384344819539644e-16,1.0648534645350778e-16,0.0,0.0,4.6800814744813696e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.9053288887388423e-16,1.2761224307763234e-17,0.0,0.0,0.059999999999999915,0.0,1.2946521031340006e-17,1.3221498799125151e-16,0.05999999999999986,0.05332508264682314,0.0,0.059999999999999915,0.0,0.059999999999999915,0.0,0.059999999999999915,3.7009749918046324e-17,0.0,0.0,2.212951248718193e-17,0.0,0.0,6.985120365050527e-17,0.05999999999999979,0.0,0.0,0.05999999999999973,0.05999999999999985,0.0,1.1070924338915929e-16,0.0,0.0,2.210129016052144e-17,0.0,5.301271915922228e-18,4.3903821967582125e-17,0.059999999999999915,3.872278763243844e-17,0.059999999999999915,4.076600168545491e-17,0.0,0.059999999999999915,0.0
2020-04-30,0.059999999999999956,0.05999999999999995,0.03196033636306044,0.059999999999999956,0.0599999999999999,6.188515054302112e-17,0.0,0.0,0.0,0.0,2.8568409453790488e-18,0.0,5.421937682087658e-17,4.337970892831272e-17,7.097960345805168e-17,7.636194978631505e-17,0.0,5.575444285807818e-17,0.059999999999999956,0.008039663636939825,0.0,1.8496022568502092e-17,0.0,0.0,4.6721688433812694e-17,0.0,3.5954298865444956e-17,1.1221096395421625e-17,0.05999999999999986,0.0,7.493812844481057e-17,0.059999999999999956,0.059999999999999956,2.3210384983665452e-17,0.0,3.7243213999748e-17,0.0,5.5238589254687804e-17,0.059999999999999956,0.0,0.059999999999999956,0.0,2.3744180439308643e-17,0.059999999999999956,0.059999999999999956,1.54804758943503e-17,0.0,0.0,4.525463378516948e-17,6.144062198303385e-17,0.05999999999999978,0.0,1.5201559454070017e-17,0.059999999999999866,1.4309941614627978e-17,0.05999999999999992,5.649083774500237e-17,0.0,0.059999999999999915,0.0
2020-05-29,1.3097162243624884e-16,0.03509021606928784,0.0,0.059999999999999956,0.059999999999999956,0.0,0.0,0.0,2.8238513806177867e-17,0.0,1.1418109833021001e-17,2.3175343734654904e-17,1.3874480927021396e-16,0.05999999999999989,0.0,0.0,0.0,0.059999999999999866,0.0,0.059999999999999956,3.686719943376609e-17,0.0,0.04739283580476037,0.0,4.290306057407182e-17,8.0024534216805e-17,3.6970917673009825e-17,0.05999999999999995,2.994525878283547e-16,1.2180713770448216e-16,0.059999999999999935,5.469855803457282e-18,0.028490805270866146,2.5171574758452724e-17,2.9945979112819355e-19,0.0,0.0,3.2596801758261034e-17,0.0599999999999999,4.966603861895718e-17,0.059999999999999956,2.4060177623869755e-18,0.0,0.059999999999999956,0.059999999999999956,0.0,0.0,8.835150007253013e-19,0.0,0.0,0.0,0.0,0.059999999999999956,0.059999999999999935,8.234961653426401e-18,0.059999999999999956,0.0,0.0,0.049026142855085504,0.0
2020-06-30,0.05999999999999974,0.05999999999999992,1.0731282884277711e-16,5.887999726651797e-17,0.05999999999999988,4.654013161640524e-17,5.701959017076625e-17,0.059999999999999894,1.5553038574445547e-16,1.0189925748939357e-16,0.0,3.8874663108080125e-17,0.0,0.05999999999999997,0.0,0.0,8.98125872897772e-17,0.05999999999999996,6.662936092034282e-17,7.486653814860261e-17,8.16310118236744e-17,0.03678246359870338,0.059999999999999776,5.006804427507714e-17,6.493121521882579e-17,2.638132548713554e-17,0.0,1.908195823574487e-16,0.0297741215658979,0.059999999999999866,8.735220662930532e-17,0.0,8.873184513115957e-17,5.800581113491909e-17,3.0902713281420216e-18,0.059999999999999845,4.324841291336042e-17,0.0,0.059999999999999915,1.1416419053393538e-16,5.0349417120573677e-17,0.05999999999999988,7.115714735988382e-18,2.3847142695747414e-17,0.05999999999999997,1.3887441662423622e-17,0.0,0.059999999999999956,0.0,0.0599999999999999,0.0,0.0,2.1896945217597152e-17,0.05999999999999984,0.033443414835398845,0.0,0.0,0.0,5.4733204019797807e-17,0.0
2020-07-31,0.05999999999999993,0.0599999999999999,8.225540236010207e-17,0.05999999999999994,0.05999999999999971,0.0,0.05999999999999994,0.05999999999999989,2.1305429084148143e-16,5.356007068247782e-17,7.238240658487928e-17,2.0035739048788852e-16,0.0,9.347304833259696e-17,0.0,5.066107775315065e-17,2.0225715369930552e-17,0.059999999999999755,9.744976568848766e-17,0.05999999999999989,0.0,0.02275944689006646,0.05999999999999986,1.451257343112906e-17,0.059999999999999845,3.271343423657763e-17,0.0,0.0,0.0,0.01724055310993372,4.9525281151864674e-17,5.285298288698771e-17,0.0,0.0,3.128699930584406e-17,0.05999999999999994,1.1360527110532364e-17,6.027988580520736e-17,0.05999999999999994,1.6889682581105234e-17,0.0,2.21457957844667e-16,4.9737235971923376e-17,5.616926414003515e-17,0.05999999999999992,9.89461899830054e-18,0.0,0.059999999999999866,0.05999999999999994,4.45645976992536e-17,0.0,3.037469542225151e-17,0.0,0.059999999999999894,6.308463350599151e-17,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.05999999999999974,0.059999999999999866,5.208308338078342e-17,0.059999999999999894,0.05999999999999981,0.0,0.0,0.0,0.0,0.0,8.607446317729107e-17,0.0,0.0,4.4149308273087485e-17,0.0,0.039999999999999626,1.074361802416924e-16,0.059999999999999894,0.0,0.0,5.999138469437972e-17,0.059999999999999894,0.059999999999999894,3.3939601409213206e-16,1.5088504284919495e-16,2.602085213965206e-16,0.0,4.181115870238894e-17,0.0,0.0,7.745585428202689e-17,0.0,3.597264329133222e-17,0.0,0.0,0.05999999999999984,5.251569477300569e-17,0.059999999999999894,0.059999999999999894,0.059999999999999866,0.059999999999999894,0.0,0.0,0.05999999999999987,0.059999999999999894,1.0097522625754785e-16,9.908465606730922e-17,1.112044311916159e-16,0.05999999999999988,4.369331179095141e-17,9.190397796472755e-17,5.668535853272637e-17,0.0,0.059999999999999894,0.0,1.389627219462383e-16,0.0,0.0,3.3964614687312223e-16,7.353259887952198e-17
2020-09-30,0.05999999999999994,0.05116337794304428,4.9319873741935214e-17,0.05999999999999987,0.0,1.2207572867828424e-16,0.05999999999999994,2.1256196114604207e-17,1.4427627032280477e-16,2.458161739744071e-16,2.573878957953586e-18,0.0,0.0,0.0,0.0,0.05999999999999994,0.0,0.05841553304319425,3.9622680669018015e-17,4.210936249712784e-17,6.115773046827742e-17,0.05999999999999994,0.059999999999999776,0.05042108901376152,3.483920539899791e-17,6.941560557884908e-17,2.118259239904172e-17,0.0,0.05999999999999994,0.0,0.0,2.0199528662002984e-17,0.0,5.797983670525176e-17,0.0,0.05999999999999981,1.3090168962148524e-17,0.05999999999999994,0.05999999999999994,3.708179216566713e-17,7.531157767135644e-17,0.0,0.0,0.0,0.05999999999999994,2.965388552422413e-17,0.0,0.0,0.05999999999999983,0.0,0.0,6.904459701268809e-18,5.071187388740955e-18,0.05999999999999994,0.0,3.277492611400983e-18,0.0,0.0,0.059999999999999915,5.063797690969087e-17
2020-10-30,0.0,6.2282378829415054e-18,0.0,1.3389553213615256e-16,1.135638408226654e-16,0.05999999999999997,0.05999999999999997,0.0,0.0,0.05999999999999997,9.966878006644184e-17,3.133116243628788e-17,7.138124412083541e-17,0.0,2.7671075226512878e-17,0.0,1.6959949239616874e-17,3.222696377271737e-18,0.0,0.0,5.686869616763803e-17,0.059999999999999935,0.05999999999999997,0.05999999999999997,0.0,0.05999999999999997,0.059999999999999894,0.0,0.0,1.2419743332586156e-17,0.0,0.0,0.0,0.039999999999999966,3.8467960450257895e-17,0.05999999999999996,0.0,0.0,0.05999999999999997,3.550451673232782e-18,0.0,0.05999999999999996,0.0,0.0,0.05999999999999997,1.93204674938137e-17,0.0,0.0,0.05999999999999997,0.05999999999999997,0.0,8.475836291953141e-18,0.0,0.05999999999999997,0.0,0.0,8.519727239221684e-18,6.845039203493622e-18,0.059999999999999935,1.794158402206179e-17
2020-11-30,6.1524931327590555e-18,6.06800879682252e-17,1.3412805543408136e-17,1.4012492097824777e-16,2.4390853050355477e-17,0.05999999999999997,0.0,0.05999999999999997,1.0610202592845485e-16,0.05999999999999997,0.044349914946901464,4.2439137642998585e-19,0.0,0.0,0.057274243645870505,1.744936815275784e-17,0.0,3.500716162507262e-18,1.3242643488569e-17,0.0,0.0,6.507461981441238e-17,0.05999999999999997,0.0,1.370343473554454e-16,0.0,0.0,7.359165865466302e-17,2.4534201928646288e-17,0.0,1.4905480505024655e-17,0.059999999999999915,0.0,0.059999999999999935,0.0599999999999999,0.05999999999999997,0.0,0.0,4.994812807359801e-18,0.058375841407227895,0.0,0.0,0.05999999999999997,2.474049147858135e-17,0.0,0.0,0.0,0.059999999999999915,0.05999999999999997,0.05999999999999987,0.0,0.05999999999999997,7.987789050242714e-17,0.05999999999999997,1.1234336927055575e-16,0.0,0.0,0.0,6.518389205217886e-17,0.0
2020-12-31,2.93089745426251e-17,0.0,5.925640862546278e-18,5.087996364044927e-17,0.0,7.504533397132126e-17,0.0,1.4439135146949462e-16,1.3760703209851558e-16,0.05999999999999994,0.023189361569236934,1.4219324770865438e-17,0.0,0.0,2.3086061428135965e-16,0.0,0.05999999999999994,0.0,0.0,0.0,0.0,0.0,0.05999999999999994,0.05999999999999994,0.0,0.0,0.0,0.05999999999999985,2.751706221442871e-17,0.0,0.0,0.05999999999999994,0.0,0.0,0.05999999999999994,8.095470194832809e-17,0.05999999999999994,0.0,3.059725705444326e-17,0.05999999999999994,0.0,0.0,0.05999999999999994,0.0,0.0,0.05999999999999991,0.05999999999999994,0.05999999999999994,0.0,0.05999999999999994,0.0,0.05999999999999994,0.0,0.05999999999999994,0.016810638430763195,0.0,0.0,1.2311577434909253e-17,0.0,2.4769366601950096e-17
2021-01-29,0.0,3.3494741365969486e-17,2.957471933654194e-17,6.677895508797123e-17,0.0,1.7331884869110632e-17,0.0,0.0,8.686715326660676e-17,0.05999999999999971,0.0,3.766473727452271e-17,7.56822398850652e-17,0.0,0.05999999999999994,0.0,0.03343061706327338,0.0,5.51730663509611e-17,2.028712669575008e-17,0.0,0.0,0.05999999999999994,0.05999999999999992,0.05999999999999992,8.664695644551001e-17,1.1383390505481378e-16,0.059999999999999935,5.716495912011315e-17,5.83892832001918e-17,6.748493060654305e-17,0.059999999999999866,2.436234979362869e-17,4.049607875374697e-16,0.059999999999999866,0.059999999999999845,0.03930331189276463,7.197344288025981e-18,2.583034503191719e-17,0.059999999999999803,3.076877616187852e-17,5.828576959685492e-17,0.05999999999999994,4.710841220743285e-17,2.112328608661912e-17,0.0,0.027266071043961095,0.05999999999999994,0.0,0.0,1.6269620377941723e-17,0.05999999999999994,0.0,0.05999999999999994,0.05999999999999983,8.628821117474914e-17,4.048246736457395e-17,3.6105262837399723e-16,1.8200741825035847e-17,6.766992009393478e-16
2021-02-26,0.0,0.0,0.0,0.0,2.8143669146023094e-17,6.438635834070544e-17,0.0,0.0,0.05999999999999993,0.05999999999999994,1.1357675499624404e-16,0.0,0.0,8.252245061295398e-19,2.110829956941728e-17,0.0,0.0416614775385395,5.0168619727813984e-17,0.0,2.9456939868201235e-17,1.1722435363000302e-17,2.1876967526318278e-17,0.05999999999999991,0.05999999999999988,0.05999999999999993,0.0,0.0,7.201501261775985e-19,0.0,2.381075825680411e-17,0.05999999999999994,0.05999999999999994,0.0,0.059999999999999935,0.059999999999999915,0.05999999999999994,3.360181188451728e-18,6.658842337847462e-18,0.0,0.05999999999999994,4.4053127779905044e-17,0.05833852246146065,0.05999999999999994,0.0,4.4574590690111416e-18,5.2146172068862616e-17,0.0,9.861380848275283e-17,3.321259029072188e-17,0.0,0.0,0.05999999999999994,2.0605360537999517e-17,0.0,5.575212860685273e-18,6.850136328172853e-18,1.0210158651145623e-16,0.059999999999999845,8.85306816610545e-17,0.05999999999999994
2021-03-31,0.0,0.0,0.0,9.324312736942516e-18,7.101908523498825e-18,0.0,1.5827749855409466e-16,0.059999999999999984,0.059999999999999984,0.0,0.0,0.0,3.0368146845411e-17,0.0,0.0,2.9327527269290715e-17,0.059999999999999984,0.0,3.9297428867560107e-16,3.0312857526358816e-17,0.059999999999999984,0.0,0.0,2.595349179538843e-17,0.059999999999999984,0.059999999999999984,0.059999999999999984,0.0,0.02072898148481117,8.154356501197495e-18,0.059999999999999984,0.013658117442081182,0.0,0.059999999999999984,0.059999999999999984,0.059999999999999984,0.0,0.0,0.0,0.059999999999999984,8.957616664401338e-18,0.005612901073107097,0.059999999999999984,8.280799031598055e-17,1.9316035620459915e-17,4.437953461095226e-18,9.81143867537631e-17,0.0,0.0,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,1.2243534017290164e-17,9.62004541080722e-19,0.05999999999999997,5.551369934054804e-17,0.05999999999999995
2021-04-30,0.0,0.0,0.0,7.78697506695034e-18,1.2697916024175135e-16,0.0,4.562070266917275e-17,0.05999999999999994,0.05999999999999994,8.933276942423929e-17,0.0,0.0,0.0,3.532347563234297e-17,0.0,0.05999999999999989,0.05999999999999994,3.994547090084286e-17,6.087272573386758e-17,0.0,0.0,0.0,4.390410986454139e-18,0.0,3.459345357421319e-17,0.05999999999999994,0.05999999999999988,0.0,0.0599999999999999,0.0,8.27344283117978e-18,0.05999999999999994,0.0,0.05999999999999994,0.0,0.0,1.3277234824598015e-17,0.04000000000000033,0.0599999999999999,0.0,8.823325578508178e-17,0.0,1.5793731909512306e-18,2.716364502448552e-17,0.0,0.0,0.0,0.0,0.0,0.05999999999999994,0.05999999999999994,0.0,1.7604503627734545e-17,0.0,4.269135164130087e-17,0.05999999999999993,0.05999999999999994,0.05999999999999994,1.8181009884678064e-18,0.05999999999999994
2021-05-31,3.153088299941526e-16,0.05269691541643276,1.1731532151594925e-16,5.199282017381448e-17,1.454582418625919e-16,5.3221207764480776e-17,0.0,0.0,0.05999999999999993,0.059999999999999915,0.0,0.0,2.580152638082584e-17,0.0,0.0,0.05999999999999991,0.0524302426950258,0.0,2.0471730353625682e-17,0.0,0.0,0.05999999999999993,0.05999999999999993,2.983187010666495e-17,8.086815669768085e-18,0.05999999999999982,0.05999999999999993,0.0,0.059999999999999915,7.916409382457227e-18,1.1389835408316805e-18,0.0,4.6709169244623445e-16,0.0,0.0,0.05999999999999987,1.522392747233945e-17,1.0156021083436503e-17,0.05999999999999993,0.0,4.484260185400041e-16,8.90662737696429e-18,2.143718401870589e-17,0.0,0.05999999999999991,0.0,0.0,0.0,0.0,1.6757071436590753e-17,0.05999999999999991,0.0,0.0,0.0,0.0,0.059999999999999894,0.0,0.05999999999999989,0.05487284188854108,0.0
