ticker,start_date,end_date,source_files
BCH.BK,2013-01-01,2015-06-30,SET50_100_H1_2013-TH-v1.xls | SET50_100_H2_2013-TH-v3.xls | SET50_100_H1_2014-TH_v2.xls | SET50_100_H2_2014-TH_v2.xls | SET50_100_H1_2015.pdf
BCH.BK,2016-07-01,2026-06-30,SET50_100_H2_2016.pdf | SET50_100_H1_2017_v2.pdf | SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf | SET50_100_H2_2018.pdf | SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf | SET50_100_H1_2020.pdf | SET50_100_H2_2020.pdf | SET50_100_H1_2021.pdf | SET50_100_H2_2021V2.pdf | SET50_100_H1_2022.pdf | SET50_SET100_H2_2022.pdf | SET50_100_H1_2023.pdf | SET50-SET100_H2_2023.pdf | SET50_100_H1_2024.pdf | SET50_100_H2_2024.pdf | SET50_100_H1_2025.pdf | SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
BCP.BK,2005-01-01,2007-06-30,SET50_100_H1_2005.xls | SET100_2_2H_2005.xls | SET100_3_H1_2006.xls | SET100_4_H2_2006.xls | SET100_5_H1_2007.xls
BCP.BK,2008-07-01,2026-06-30,SET50_100_H2_2008.xls | SET50_100_H1_2009.xls | SET50_100_H2_2009.xls | SET50_100_H1_2010b.xls | SET50_100_H2_2010.xls | SET50_100_H1_2011.xls | UpdateSET50_100_H2_2011.xls | SET50_100_H1_2012.xls | SET50_100_H2_2012-TH.xls | SET50_100_H1_2013-TH-v1.xls | SET50_100_H2_2013-TH-v3.xls | SET50_100_H1_2014-TH_v2.xls | SET50_100_H2_2014-TH_v2.xls | SET50_100_H1_2015.pdf | SET50_100_H2_2015.pdf | SET50_100_H1_2016.pdf | SET50_100_H2_2016.pdf | SET50_100_H1_2017_v2.pdf | SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf | SET50_100_H2_2018.pdf | SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf | SET50_100_H1_2020.pdf | SET50_100_H2_2020.pdf | SET50_100_H1_2021.pdf | SET50_100_H2_2021V2.pdf | SET50_100_H1_2022.pdf | SET50_SET100_H2_2022.pdf | SET50_100_H1_2023.pdf | SET50-SET100_H2_2023.pdf | SET50_100_H1_2024.pdf | SET50_100_H2_2024.pdf | SET50_100_H1_2025.pdf | SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
BCPG.BK,2017-07-01,2026-06-30,SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf | SET50_100_H2_2018.pdf | SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf | SET50_100_H1_2020.pdf | SET50_100_H2_2020.pdf | SET50_100_H1_2021.pdf | SET50_100_H2_2021V2.pdf | SET50_100_H1_2022.pdf | SET50_SET100_H2_2022.pdf | SET50_100_H1_2023.pdf | SET50-SET100_H2_2023.pdf | SET50_100_H1_2024.pdf | SET50_100_H2_2024.pdf | SET50_100_H1_2025.pdf | SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
BDMS.BK,2015-07-01,2026-06-30,SET50_100_H2_2015.pdf | SET50_100_H1_2016.pdf | SET50_100_H2_2016.pdf | SET50_100_H1_2017_v2.pdf | SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf | SET50_100_H2_2018.pdf | SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf | SET50_100_H1_2020.pdf | SET50_100_H2_2020.pdf | SET50_100_H1_2021.pdf | SET50_100_H2_2021V2.pdf | SET50_100_H1_2022.pdf | SET50_SET100_H2_2022.pdf | SET50_100_H1_2023.pdf | SET50-SET100_H2_2023.pdf | SET50_100_H1_2024.pdf | SET50_100_H2_2024.pdf | SET50_100_H1_2025.pdf | SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
BEAUTY.BK,2015-07-01,2020-06-30,SET50_100_H2_2015.pdf | SET50_100_H1_2016.pdf | SET50_100_H2_2016.pdf | SET50_100_H1_2017_v2.pdf | SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf | SET50_100_H2_2018.pdf | SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf | SET50_100_H1_2020.pdf
BEC.BK,2005-01-01,2018-06-30,SET50_100_H1_2005.xls | SET100_2_2H_2005.xls | SET100_3_H1_2006.xls | SET100_4_H2_2006.xls | SET100_5_H1_2007.xls | SET100_6_H2_2007.xls | SET50_100_H1_2008.xls | SET50_100_H2_2008.xls | SET50_100_H1_2009.xls | SET50_100_H2_2009.xls | SET50_100_H1_2010b.xls | SET50_100_H2_2010.xls | SET50_100_H1_2011.xls | UpdateSET50_100_H2_2011.xls | SET50_100_H1_2012.xls | SET50_100_H2_2012-TH.xls | SET50_100_H1_2013-TH-v1.xls | SET50_100_H2_2013-TH-v3.xls | SET50_100_H1_2014-TH_v2.xls | SET50_100_H2_2014-TH_v2.xls | SET50_100_H1_2015.pdf | SET50_100_H2_2015.pdf | SET50_100_H1_2016.pdf | SET50_100_H2_2016.pdf | SET50_100_H1_2017_v2.pdf | SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf
BEC.BK,2019-01-01,2023-06-30,SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf | SET50_100_H1_2020.pdf | SET50_100_H2_2020.pdf | SET50_100_H1_2021.pdf | SET50_100_H2_2021V2.pdf | SET50_100_H1_2022.pdf | SET50_SET100_H2_2022.pdf | SET50_100_H1_2023.pdf
BECL.BK,2005-01-01,2016-06-30,SET50_100_H1_2005.xls | SET100_2_2H_2005.xls | SET100_3_H1_2006.xls | SET100_4_H2_2006.xls | SET100_5_H1_2007.xls | SET100_6_H2_2007.xls | SET50_100_H1_2008.xls | SET50_100_H2_2008.xls | SET50_100_H1_2009.xls | SET50_100_H2_2009.xls | SET50_100_H1_2010b.xls | SET50_100_H2_2010.xls | SET50_100_H1_2011.xls | UpdateSET50_100_H2_2011.xls | SET50_100_H1_2012.xls | SET50_100_H2_2012-TH.xls | SET50_100_H1_2013-TH-v1.xls | SET50_100_H2_2013-TH-v3.xls | SET50_100_H1_2014-TH_v2.xls | SET50_100_H2_2014-TH_v2.xls | SET50_100_H1_2015.pdf | SET50_100_H2_2015.pdf | SET50_100_H1_2016.pdf
BEM.BK,2016-07-01,2026-06-30,SET50_100_H2_2016.pdf | SET50_100_H1_2017_v2.pdf | SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf | SET50_100_H2_2018.pdf | SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf | SET50_100_H1_2020.pdf | SET50_100_H2_2020.pdf | SET50_100_H1_2021.pdf | SET50_100_H2_2021V2.pdf | SET50_100_H1_2022.pdf | SET50_SET100_H2_2022.pdf | SET50_100_H1_2023.pdf | SET50-SET100_H2_2023.pdf | SET50_100_H1_2024.pdf | SET50_100_H2_2024.pdf | SET50_100_H1_2025.pdf | SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
BFIT.BK,2005-07-01,2006-12-31,SET100_2_2H_2005.xls | SET100_3_H1_2006.xls | SET100_4_H2_2006.xls
BGC.BK,2020-01-01,2020-06-30,SET50_100_H1_2020.pdf
BGH.BK,2006-01-01,2015-06-30,SET100_3_H1_2006.xls | SET100_4_H2_2006.xls | SET100_5_H1_2007.xls | SET100_6_H2_2007.xls | SET50_100_H1_2008.xls | SET50_100_H2_2008.xls | SET50_100_H1_2009.xls | SET50_100_H2_2009.xls | SET50_100_H1_2010b.xls | SET50_100_H2_2010.xls | SET50_100_H1_2011.xls | UpdateSET50_100_H2_2011.xls | SET50_100_H1_2012.xls | SET50_100_H2_2012-TH.xls | SET50_100_H1_2013-TH-v1.xls | SET50_100_H2_2013-TH-v3.xls | SET50_100_H1_2014-TH_v2.xls | SET50_100_H2_2014-TH_v2.xls | SET50_100_H1_2015.pdf
BGRIM.BK,2018-07-01,2026-06-30,SET50_100_H2_2018.pdf | SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf | SET50_100_H1_2020.pdf | SET50_100_H2_2020.pdf | SET50_100_H1_2021.pdf | SET50_100_H2_2021V2.pdf | SET50_100_H1_2022.pdf | SET50_SET100_H2_2022.pdf | SET50_100_H1_2023.pdf | SET50-SET100_H2_2023.pdf | SET50_100_H1_2024.pdf | SET50_100_H2_2024.pdf | SET50_100_H1_2025.pdf | SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
BH.BK,2005-01-01,2026-06-30,SET50_100_H1_2005.xls | SET100_2_2H_2005.xls | SET100_3_H1_2006.xls | SET100_4_H2_2006.xls | SET100_5_H1_2007.xls | SET100_6_H2_2007.xls | SET50_100_H1_2008.xls | SET50_100_H2_2008.xls | SET50_100_H1_2009.xls | SET50_100_H2_2009.xls | SET50_100_H1_2010b.xls | SET50_100_H2_2010.xls | SET50_100_H1_2011.xls | UpdateSET50_100_H2_2011.xls | SET50_100_H1_2012.xls | SET50_100_H2_2012-TH.xls | SET50_100_H1_2013-TH-v1.xls | SET50_100_H2_2013-TH-v3.xls | SET50_100_H1_2014-TH_v2.xls | SET50_100_H2_2014-TH_v2.xls | SET50_100_H1_2015.pdf | SET50_100_H2_2015.pdf | SET50_100_H1_2016.pdf | SET50_100_H2_2016.pdf | SET50_100_H1_2017_v2.pdf | SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf | SET50_100_H2_2018.pdf | SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf | SET50_100_H1_2020.pdf | SET50_100_H2_2020.pdf | SET50_100_H1_2021.pdf | SET50_100_H2_2021V2.pdf | SET50_100_H1_2022.pdf | SET50_SET100_H2_2022.pdf | SET50_100_H1_2023.pdf | SET50-SET100_H2_2023.pdf | SET50_100_H1_2024.pdf | SET50_100_H2_2024.pdf | SET50_100_H1_2025.pdf | SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
BIG.BK,2017-01-01,2018-06-30,SET50_100_H1_2017_v2.pdf | SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf
BIGC.BK,2014-01-01,2015-06-30,SET50_100_H1_2014-TH_v2.xls | SET50_100_H2_2014-TH_v2.xls | SET50_100_H1_2015.pdf
BJC.BK,2014-01-01,2015-06-30,SET50_100_H1_2014-TH_v2.xls | SET50_100_H2_2014-TH_v2.xls | SET50_100_H1_2015.pdf
BJC.BK,2017-07-01,2021-12-31,SET50_100_H2_2017.pdf | SET50_100_H1_2018.pdf | SET50_100_H2_2018.pdf | SET50_100_H1_2019.pdf | SET50_100_H2_2019.pdf | SET50_100_H1_2020.pdf | SET50_100_H2_2020.pdf | SET50_100_H1_2021.pdf | SET50_100_H2_2021V2.pdf
BJC.BK,2024-07-01,2026-06-30,SET50_100_H2_2024.pdf | SET50_100_H1_2025.pdf | SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
BJCHI.BK,2014-07-01,2016-12-31,SET50_100_H2_2014-TH_v2.xls | SET50_100_H1_2015.pdf | SET50_100_H2_2015.pdf | SET50_100_H1_2016.pdf | SET50_100_H2_2016.pdf
BLA.BK,2010-07-01,2014-12-31,SET50_100_H2_2010.xls | SET50_100_H1_2011.xls | UpdateSET50_100_H2_2011.xls | SET50_100_H1_2012.xls | SET50_100_H2_2012-TH.xls | SET50_100_H1_2013-TH-v1.xls | SET50_100_H2_2013-TH-v3.xls | SET50_100_H1_2014-TH_v2.xls | SET50_100_H2_2014-TH_v2.xls
BLA.BK,2016-01-01,2017-12-31,SET50_100_H1_2016.pdf | SET50_100_H2_2016.pdf | SET50_100_H1_2017_v2.pdf | SET50_100_H2_2017.pdf
BLA.BK,2018-07-01,2018-12-31,SET50_100_H2_2018.pdf
BLA.BK,2022-01-01,2026-06-30,SET50_100_H1_2022.pdf | SET50_SET100_H2_2022.pdf | SET50_100_H1_2023.pdf | SET50-SET100_H2_2023.pdf | SET50_100_H1_2024.pdf | SET50_100_H2_2024.pdf | SET50_100_H1_2025.pdf | SET50_100_H2_2025.pdf | SET50_100_H1_2026.pdf
