Date,US Equity,TH Equity,JP Equity,Gold,BTC,Cash / Reduced Exposure,Strategy,JP Sleeve Mode,JP Assets,JP Internal Cap
2024-08-28,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-08-29,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-08-30,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-02,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-03,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-04,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-05,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-06,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-09,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-10,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-11,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-12,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-13,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-16,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-17,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-18,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-19,0.0,0.0,0.0,0.3,0.0,0.7,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-20,0.0,0.0,0.0,0.3,0.1,0.6,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-23,0.0,0.0,0.0,0.3,0.1,0.6,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-24,0.0,0.0,0.0,0.3,0.1,0.6,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-25,0.0,0.0,0.0,0.3,0.1,0.6,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-26,0.0,0.0,0.0,0.3,0.1,0.6,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-27,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.3,0.1,0.30000000000000004,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-09-30,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.3,0.1,0.30000000000000004,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
