,One-model US cap 70% / TH cap 30%,One-model US cap 70% / TH cap 30% + daily exposure,One-model US cap 70% / TH cap 40%,One-model US cap 70% / TH cap 40% + daily exposure,One-model US cap 80% / TH cap 30%,One-model US cap 80% / TH cap 30% + daily exposure,One-model US cap 80% / TH cap 40%,One-model US cap 80% / TH cap 40% + daily exposure
2008-06-12,10936.075657739531,9886.888816022858,10888.283746937912,9862.538389016763,10824.096050684517,9816.194893666177,10776.79349587045,9792.018571721213
2008-06-13,11202.747848860727,10007.432893553747,11153.790549854946,9982.785578434965,11111.098332848878,9946.33372112393,11062.541544783346,9921.83688005478
2008-06-16,11335.69168166412,10066.812364704083,11286.15340278971,10042.018803834508,11234.31639500469,10001.484343049784,11185.221129720188,9976.851671426577
2008-06-17,11332.247744624949,10065.283147566619,11282.724516152248,10040.493353007252,11216.69893124199,9993.642264288977,11167.680656316907,9969.028906933965
2008-06-18,11333.090930054781,10065.657605498021,11283.564016764592,10040.86688868589,11193.341900985843,9983.237161764295,11144.425698991266,9958.649431152766
2008-06-19,11510.95708056164,10144.644873034284,11460.652871698003,10119.6596184127,11378.508668636588,10065.811417615978,11328.783266396973,10041.020314738975
2008-06-20,11283.16631835891,10044.268493740557,11233.857581374705,10019.530456190249,11129.145460310836,9955.513877639702,11080.5098042057,9930.994426748533
2008-06-23,11303.423358057767,10053.284896578325,11254.026095475836,10028.524652521677,11170.616924683463,9974.062909124648,11121.80003347033,9949.497773794468
2008-06-24,11272.839724353744,10039.684327394125,11223.576115775288,10014.95758019107,11139.515775288917,9960.178052867434,11090.83479970487,9935.647114571713
2008-06-25,11259.30025998436,10033.65514789923,11210.095820425367,10008.943249967564,11150.224309717085,9964.965465163506,11101.496536595914,9940.422735942462
2008-06-26,11207.913445551661,10010.758628432597,11158.933572293105,9986.103122358505,11010.19775507324,9902.394536432694,10962.081914232183,9878.005913251085
2008-06-27,11286.61659456182,10045.906929312405,11237.292779473028,10021.164856457714,11061.850031543574,9925.622149219142,11013.508464265171,9901.176318713227
2008-06-30,11219.952206338334,10016.238860321944,11170.919722307899,9991.569856979999,10999.39345015784,9897.601500512144,10951.324825382042,9873.224682106293
2008-07-01,11381.338587554636,10088.275020251049,11331.600826441538,10063.428598988587,11166.688579153897,9972.870219977578,11117.888855266227,9948.308022123389
