Date,Mean Covariance Gold30 stock-cap sweep stockcap6 none + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap6 mom_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap6 zscore_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap8 none + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap8 mom_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap8 zscore_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap10 none + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap10 mom_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap10 zscore_63 + asset-level daily exposure
2022-09-13,1.4085451711915802,2.2747519731889194,2.2572255992354564,1.412159324307492,2.6351162385309936,2.639554681558228,1.41416398069981,2.830857732590412,2.876671518196255
2022-09-14,1.408025744786338,2.2899717678793854,2.2723281293553743,1.4124141204562093,2.6571301528716726,2.6616056749101236,1.4145704115019617,2.8523813527888198,2.898543470460198
2022-09-15,1.395300355031474,2.28225506569325,2.2646708823581108,1.4007305138627686,2.652536824519339,2.657004609811323,1.4037860616214504,2.853692501745671,2.8998758386738537
2022-09-16,1.3949280297217133,2.2749633346610265,2.257435332222242,1.4012084397985574,2.6402737147908244,2.644720844783794,1.4049777031613546,2.8360848601389583,2.88198324007043
2022-09-19,1.396062173367813,2.279393573627698,2.2618314373467414,1.4023963714449958,2.6438240594005986,2.6482771693962874,1.4055988341924475,2.85091816485846,2.897056602718107
2022-09-20,1.3891312799926645,2.2679790485368065,2.250504858211102,1.3958424297366412,2.63469739412056,2.639135131669561,1.3992983998552122,2.8392739552863318,2.8852239466144756
2022-09-21,1.3805434360342062,2.245804666715299,2.2285013242501837,1.3879129481498886,2.606282483621488,2.6106723606778455,1.3914944516506198,2.8087466963670553,2.8542026433357246
2022-09-22,1.3796712209623692,2.2336959712387783,2.2164859231316902,1.3878748183539156,2.588360225977575,2.592719915781357,1.3921677752335013,2.786155239056412,2.831245572391504
2022-09-23,1.3661767451685807,2.2073726509929834,2.190365417240938,1.3748248711795992,2.5527747587693126,2.557074510394104,1.3803561177044057,2.742822353390153,2.787211399793464
2022-09-26,1.3537698241067666,2.1937768745093846,2.176874392688824,1.3624049634551205,2.536693279806174,2.540965944683465,1.3679948890160238,2.727843784311918,2.771990421870542
2022-09-27,1.3534644680384387,2.1969743015644654,2.1800471843977585,1.3631844247341742,2.542384759669869,2.5466670109588487,1.3693914120535946,2.733831703802809,2.7780752481245745
2022-09-28,1.3714350473295926,2.2283200654298994,2.211151437282726,1.382088734529504,2.5800606482719974,2.58440635872934,1.3883931072938878,2.7805681248513747,2.8255680379405472
2022-09-29,1.3642091090142696,2.1979697795671034,2.1810349925005825,1.3752704941014273,2.54361217208198,2.5478964907560653,1.3820533346024666,2.739787181321708,2.7841271073750917
2022-09-30,1.3582689995006392,2.178707931292964,2.1619215517714703,1.3697867147739697,2.520588149942443,2.524833688235987,1.3772179577605772,2.712395334788594,2.7562919590928403
2022-10-03,1.3796895456267966,2.203381411495196,2.1864049292082783,1.3906670365415397,2.5444665878363586,2.5487523456407617,1.397410614149994,2.737553440648671,2.7818572164868405
2022-10-04,1.4013348726527195,2.2379985330105248,2.220755334780937,1.4114901142018017,2.5847696452055176,2.589123287235041,1.4175688015324426,2.7818230470919043,2.82684326948092
2022-10-05,1.4002200165268293,2.234485466833455,2.217269335867581,1.4103012587523909,2.5838271410672213,2.5881791955952678,1.4163485501963753,2.781993000578708,2.8270159734459677
