,Best stock assets + Gold/BTC/BIL/IEF reoptimized Static Copula [US stock only] [mean_variance] max10 PIT reselect,Best stock assets + Gold/BTC/BIL/IEF reoptimized Dynamic HMM Copula [US stock only] [mean_variance] max10 PIT reselect
2018-09-13,12159.701326165397,12157.867066592335
2018-09-14,12165.219864252003,12161.195786444952
2018-09-17,12097.552752907759,12093.924699291776
2018-09-18,12164.19838185254,12155.373671132884
2018-09-19,12048.918255225128,12046.388481779642
2018-09-20,12119.267000286673,12113.77941246423
2018-09-21,12087.872450251558,12073.623691244384
2018-09-24,12122.36844911659,12110.802636997914
2018-09-25,12117.954282811415,12098.312766362793
2018-09-26,12089.44376945848,12069.290147995142
2018-09-27,12162.633520352563,12146.799557553055
2018-09-28,12123.201085904644,12106.679584419513
2018-10-01,12177.362264671103,12160.78113625726
2018-10-02,12010.347159673058,11993.987929074341
2018-10-03,12000.409932703824,11984.060952385043
2018-10-04,11914.577745287079,11898.353191879087
2018-10-05,11867.082970693427,11850.93124401592
2018-10-08,11777.620935475561,11761.58380434982
2018-10-09,11883.146062268617,11866.958003908725
2018-10-10,11278.433509111594,11263.088879531271
2018-10-11,11104.648406447559,11089.529977827113
2018-10-12,11355.932714324575,11340.462341318995
2018-10-15,11196.741163456174,11181.482334814022
2018-10-16,11531.405049438508,11515.686472011328
2018-10-17,11461.09781278369,11445.485516598166
2018-10-18,11268.709371042058,11253.365803707205
2018-10-19,11175.49632926314,11160.258848697264
2018-10-22,11266.010183691738,11250.651325397204
2018-10-23,11244.282812872463,11228.957774222708
2018-10-24,10696.466365688122,10681.920924573442
2018-10-25,10930.151824134124,10915.277034157305
2018-10-26,10558.473992826526,10544.103254739863
2018-10-29,10342.422870864044,10328.350270078809
2018-10-30,10600.655656926965,10586.237478625644
2018-10-31,10899.707846433423,10884.878512485579
2018-11-01,10914.015000350635,10896.61385879807
2018-11-02,10725.343662714633,10710.52028670618
2018-11-05,10785.01087291026,10771.48547666732
2018-11-06,10916.024193508556,10903.7309481307
2018-11-07,11138.779928505583,11134.214188246047
2018-11-08,11161.844110755987,11158.975446565022
2018-11-09,11163.841178717616,11161.613051423627
2018-11-12,10910.480167667203,10897.61701436387
2018-11-13,10873.44297038834,10862.874366592298
2018-11-14,10705.612968794334,10689.833199042641
2018-11-15,10842.357494732269,10840.527019368981
2018-11-16,10872.165143894712,10874.829833334032
2018-11-19,10639.726293334279,10630.148701886941
2018-11-20,10408.850375703174,10391.107845960178
2018-11-21,10442.346844745283,10426.337105278764
2018-11-22,10422.705186560559,10406.725560806493
2018-11-23,10382.007992708046,10367.049459358259
2018-11-26,10533.188762100684,10514.386899351352
2018-11-27,10583.478128484605,10557.609407359601
2018-11-28,10854.795004301588,10833.53141231717
2018-11-29,10850.41625387555,10826.575532711675
2018-11-30,10885.033575571899,10868.549193118286
2018-12-03,10971.01569082183,10954.401096360869
2018-12-04,10667.656400377882,10651.501215667915
2018-12-06,10650.260413179265,10634.13157309232
2018-12-07,10554.120868811508,10538.137623224322
2018-12-10,10615.127270875186,10599.05163670171
2018-12-11,10649.554197705284,10633.426427116736
2018-12-12,10690.943903568788,10674.753452076564
2018-12-13,10707.76360603776,10691.547682652747
2018-12-14,10492.631796157595,10476.74167011692
2018-12-17,10414.346295416943,10398.574725568662
2018-12-18,10366.812653606652,10351.113069088098
2018-12-19,10226.370624773292,10210.883726793532
2018-12-20,10130.334739450383,10114.99327898829
2018-12-21,9998.783633021332,9983.641394613585
2018-12-24,9789.470489867048,9774.645236967923
2018-12-25,9741.46823018724,9726.715672296514
2018-12-26,10144.451350709862,10129.08851193806
2018-12-27,10276.775095326608,10261.211864410967
2018-12-28,10271.631983785779,10256.07654163965
2018-12-31,10343.428003268227,10327.763832652352
2019-01-02,10295.263823636524,10275.968918400864
2019-01-03,10327.041118718615,10213.620959705338
2019-01-04,10250.70402987621,10150.437769366208
2019-01-07,10173.608557102776,10094.523619474845
2019-01-08,10156.493688165818,10070.270663981946
2019-01-09,10199.82164905521,10156.050791237618
2019-01-10,10148.412865131415,10118.74192819725
2019-01-11,10171.0875388568,10144.700997806269
2019-01-14,10180.321805844784,10155.041793077835
2019-01-15,10164.71954252256,10162.568702764538
2019-01-16,10169.828830678991,10148.045898841056
2019-01-17,10083.727961514858,10076.85080792223
2019-01-18,10065.991946605456,10082.513852360787
2019-01-21,10086.641934403384,10103.19773420056
2019-01-22,10115.720120730502,10121.748782317078
2019-01-23,10101.361922105483,10104.367556472862
2019-01-24,10078.697360428689,10105.085162777754
2019-01-25,10107.83296179426,10149.254528956011
2019-01-28,10076.714583482051,10116.063880084643
2019-01-29,10091.218110831109,10124.55757777939
2019-01-30,10088.255767803632,10137.954511759497
2019-01-31,10056.23401887585,10094.32349919314
2019-02-01,10046.519094265863,10084.57177786293
2019-02-04,10113.914741238974,10152.222695861361
2019-02-05,10169.813314661507,10208.332993435115
2019-02-06,10132.035199769267,10170.41178832034
2019-02-07,10013.536953934876,10051.464712775552
2019-02-08,10061.203338549778,10099.311640903583
2019-02-11,9904.637401173719,9942.152686780017
2019-02-12,10162.497665191579,10200.989634855992
2019-02-13,10146.134376070502,10184.564367346411
2019-02-14,10182.247608794722,10220.814384304615
2019-02-15,10224.898346516491,10263.626668031771
2019-02-18,10212.480730091564,10251.162018039855
2019-02-19,10273.68198835108,10312.595085157189
2019-02-20,10267.294757217616,10306.183661436908
2019-02-21,10172.842413985001,10211.373565922304
2019-02-22,10277.108167007458,10316.034240974226
2019-02-25,10398.125800780364,10437.510247013626
2019-02-26,10379.725541580126,10419.040294098095
2019-02-27,10347.321890077856,10386.51390895182
2019-02-28,10353.260110815563,10392.474621582762
2019-03-01,10406.440438314652,10445.85637747281
2019-03-04,10408.501017755993,10447.92476166491
2019-03-05,10379.74978480715,10419.064629149943
2019-03-06,10137.442986217671,10175.840057563306
2019-03-07,10119.913684528361,10158.244361039666
2019-03-08,10149.01745699729,10187.458368370524
2019-03-11,10233.279650048076,10272.039716995623
2019-03-12,10170.517951921905,10209.040299613816
2019-03-13,10251.134237512242,10289.961931362317
2019-03-14,10174.964559250157,10213.503749127918
2019-03-15,10405.093858784468,10444.504697572605
2019-03-18,10406.139254921045,10445.554053302358
2019-03-19,10567.649062811095,10607.675603583955
2019-03-20,10571.209748522293,10611.249775921264
2019-03-21,10853.284548319933,10894.392975928637
2019-03-22,10533.551743380987,10573.44913549095
2019-03-25,10493.575431879704,10533.32140777091
2019-03-26,10492.411905490879,10532.153474353032
2019-03-27,10427.244683902198,10466.739422231232
2019-03-28,10543.413619395607,10583.348364826074
2019-03-29,10665.755509203578,10706.153642717005
2019-04-01,10852.646871497564,10893.75288381057
2019-04-02,10906.003253524168,10947.311361060812
2019-04-03,11090.773790135065,11132.781743528938
2019-04-04,11068.507625885813,11110.431242874694
2019-04-05,11116.353130500687,11158.457969446305
2019-04-08,11121.59082388952,11163.71550137697
2019-04-09,10955.686367561648,10997.182657273714
2019-04-10,10986.730546204859,11028.344420355512
2019-04-11,10971.95174209952,11013.509639334057
2019-04-12,10977.751948306555,11019.331814683792
2019-04-15,10877.655145301576,10918.855880166886
2019-04-16,11051.760326482154,11093.620510586537
2019-04-17,11071.414098306113,11113.348723991077
2019-04-18,11091.501646988703,11133.512357248543
2019-04-19,11094.991815419055,11137.01574521033
2019-04-22,11199.017254540704,11241.435196136845
2019-04-23,11259.228256082375,11301.874255791898
2019-04-24,11270.674238888452,11313.36359195829
2019-04-25,11205.927192935484,11248.371306949844
2019-04-26,11201.49199978822,11243.919314849638
2019-04-29,11211.104208116016,11253.567930844481
2019-04-30,11231.273647761827,11273.813765239356
2019-05-01,11226.10510796624,11268.625648831443
2019-05-02,11175.082771276759,11217.41005746179
2019-05-03,11334.046473965724,11376.975858790602
2019-05-06,11253.395587137056,11296.01949474644
2019-05-07,11035.91901388707,11077.719196666589
2019-05-08,11080.784159660738,11122.754275845115
2019-05-09,11023.817212730555,11065.571558140331
2019-05-10,11081.931781990506,11123.90624496495
2019-05-13,10915.075976851982,10956.418448676086
2019-05-14,11136.257679839338,11178.43791022263
2019-05-15,11187.617562018328,11229.992325585481
2019-05-16,11293.37663630472,11336.151978077476
2019-05-17,11181.572305155589,11223.92417141428
2019-05-20,11140.835912626037,11183.033483746156
2019-05-21,11247.857300616102,11290.460231142508
2019-05-22,11130.677792263623,11172.836887993763
2019-05-23,10983.78967634884,11025.39241151801
2019-05-24,10950.609927586514,10992.08698952801
2019-05-27,11041.984846218615,11083.808004239238
2019-05-28,11012.552889476197,11054.264569588197
2019-05-29,10927.436808173876,10968.826098482958
2019-05-30,10904.68231272447,10945.985417001593
2019-05-31,10762.816432109077,10803.582198287539
2019-06-03,10563.366873140714,10603.377194484025
2019-06-04,10606.730235736737,10646.904802258008
2019-06-05,10693.471557493714,10733.974669657578
2019-06-06,10837.90877683718,10878.958966427137
2019-06-07,10985.248267541556,11026.856527341555
2019-06-10,10983.758141414079,11025.360757139995
2019-06-11,10925.331435071388,10966.712750967063
2019-06-12,10945.39660183547,10986.853917531176
2019-06-13,10980.225132451593,11021.814366381193
2019-06-14,10997.079912619625,11038.732986533087
2019-06-17,11040.867322167394,11082.68624739965
2019-06-18,11128.55321975373,11170.704268349857
2019-06-19,11147.528676746224,11189.751597704733
2019-06-20,11234.869719521063,11277.423457654613
2019-06-21,11116.474832566286,11158.580132476556
2019-06-24,11205.692317401206,11248.135541789588
2019-06-25,11126.367713646292,11168.510484313356
2019-06-26,11305.044347004727,11347.863881965131
2019-06-27,11180.938182892385,11223.287647318799
2019-06-28,11332.087420780428,11375.009385400323
2019-07-01,11143.310248814032,11185.517191850056
2019-07-02,11262.334762247021,11304.992528310151
2019-07-03,11433.046381691945,11476.350743374924
2019-07-04,11378.093188573821,11421.189406873928
2019-07-05,11316.008482127481,11358.869545378517
2019-07-08,11500.954728520828,11544.516303155997
2019-07-09,11603.078751720386,11647.027136265131
2019-07-10,11669.347110203918,11713.546496001356
2019-07-11,11531.229228570612,11574.905472372346
2019-07-12,11639.18481325692,11683.269954873715
2019-07-15,11655.208566274106,11699.354400235967
2019-07-16,11426.581167150165,11469.86104087258
2019-07-17,11451.953402329116,11495.32937716161
2019-07-18,11565.616548964712,11609.423039851075
2019-07-19,11464.814108989352,11508.23879565893
2019-07-22,11528.914456401304,11572.581932659561
2019-07-23,11504.48273427172,11548.057671752791
2019-07-24,11595.876284067566,11639.797388196068
2019-07-25,11541.896754040084,11585.613402679317
2019-07-26,11644.75131094292,11688.857536496665
2019-07-29,11549.490325721767,11593.23573614186
2019-07-30,11549.997890851499,11593.745223749922
2019-07-31,11345.402223410923,11388.374619823844
2019-08-01,11315.794792300214,11358.655046169273
2019-08-02,11434.089216958999,11477.397528535468
2019-08-05,11298.809285340276,11341.605204078332
2019-08-06,11469.58040246205,11513.023142176244
