Asset,Ticker,Sleeve,Internal Weight,Raw Sleeve Weight,Target Weight,Effective Weight,Daily Exposure,Target Weight %,Effective Weight %,Date,Strategy,Last Exposure Date,Signal Source Close Date
TRUE.BK,TRUE.BK,TH Equity,0.058755823487059766,0.19999999999999998,0.011751164697411953,0.011751164697411953,1.0,1.1751164697411953,1.1751164697411953,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
BDMS.BK,BDMS.BK,TH Equity,0.05867800843282595,0.19999999999999998,0.01173560168656519,0.01173560168656519,1.0,1.173560168656519,1.173560168656519,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
KTB.BK,KTB.BK,TH Equity,0.057026033179199354,0.19999999999999998,0.01140520663583987,0.01140520663583987,1.0,1.140520663583987,1.140520663583987,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
CPF.BK,CPF.BK,TH Equity,0.05310130878756949,0.19999999999999998,0.010620261757513896,0.010620261757513896,1.0,1.0620261757513896,1.0620261757513896,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
KTC.BK,KTC.BK,TH Equity,0.04227720199958902,0.19999999999999998,0.008455440399917804,0.008455440399917804,1.0,0.8455440399917804,0.8455440399917804,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
AAPL,AAPL,US Equity,0.039999999999999966,0.19999999999999998,0.007999999999999993,0.007999999999999993,1.0,0.7999999999999994,0.7999999999999994,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
CPALL.BK,CPALL.BK,TH Equity,0.03145879104173332,0.19999999999999998,0.006291758208346663,0.006291758208346663,1.0,0.6291758208346664,0.6291758208346664,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
BH.BK,BH.BK,TH Equity,0.030504819511906554,0.19999999999999998,0.00610096390238131,0.00610096390238131,1.0,0.610096390238131,0.610096390238131,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
MINT.BK,MINT.BK,TH Equity,0.020120146737828803,0.19999999999999998,0.00402402934756576,0.00402402934756576,1.0,0.402402934756576,0.402402934756576,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
AOT.BK,AOT.BK,TH Equity,0.018539106740503856,0.19999999999999998,0.003707821348100771,0.003707821348100771,1.0,0.3707821348100771,0.3707821348100771,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
CPN.BK,CPN.BK,TH Equity,0.017968552088416433,0.19999999999999998,0.0035937104176832864,0.0035937104176832864,1.0,0.3593710417683286,0.3593710417683286,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
HMPRO.BK,HMPRO.BK,TH Equity,0.009255731691483788,0.19999999999999998,0.0018511463382967575,0.0018511463382967575,1.0,0.18511463382967575,0.18511463382967575,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
SCC.BK,SCC.BK,TH Equity,0.00015258376908075608,0.19999999999999998,3.0516753816151214e-05,3.0516753816151214e-05,1.0,0.0030516753816151212,0.0030516753816151212,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
CRC.BK,CRC.BK,TH Equity,2.1959955248583357e-05,0.19999999999999998,4.391991049716671e-06,4.391991049716671e-06,1.0,0.0004391991049716671,0.0004391991049716671,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
BTC-USD,BTC-USD,BTC,1.0,0.1,0.1,0.0,0.0,10.0,0.0,2026-06-30,JP optimized min_vol_mom_tilt top10 cap15% Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,2026-06-30,2026-06-29
