,Gold25 crash DD252 warn-8%/exp50% crash-15%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp50% crash-18%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp50% crash-20%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp50% crash-25%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp75% crash-20%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp75% crash-25%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp50% crash-15%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-8%/exp50% crash-18%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-8%/exp50% crash-20%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-8%/exp50% crash-25%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-8%/exp75% crash-20%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-8%/exp75% crash-18%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp75% crash-25%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD126 warn-8%/exp75% crash-20%/exp50% recover-5% no panic,Gold25 crash DD126 warn-8%/exp75% crash-20%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-8%/exp75% crash-18%/exp50% recover-5% panic-30%/MA200/mom63->0,Gold25 crash DD252 warn-10%/exp75% crash-20%/exp50% recover-5% no panic,Gold25 crash DD252 warn-12%/exp75% crash-20%/exp50% recover-5% no panic,Gold25 crash DD252 warn-8%/exp75% crash-15%/exp50% recover-5% no panic,Gold25 crash DD126 warn-8%/exp75% crash-18%/exp50% recover-5% no panic
2013-11-19,19396.465250486384,19396.465250486384,19396.465250486384,19396.465250486384,19317.35792370922,19296.503068703158,19296.054271664976,19296.054271664976,19296.054271664976,19296.054271664976,19217.356465076726,19237.757228942675,19196.609570793265,19541.816769927704,19541.816769927704,19138.16784455015,19123.077804850156,19037.990724611394,19014.464770703813,19456.480672623995
2013-11-20,19370.935854875137,19370.935854875137,19370.935854875137,19370.935854875137,19291.932648215476,19271.10524212018,19270.657035783293,19270.657035783293,19270.657035783293,19270.657035783293,19192.062810306972,19212.436722931478,19171.343222837666,19516.09606438474,19516.09606438474,19112.97841689576,19097.908238525568,19012.93314888431,18989.438159555924,19430.87228543182
2013-11-21,19552.27870641917,19552.27870641917,19552.27870641917,19552.27870641917,19472.53590375423,19451.513519923225,19451.061117660243,19451.061117660243,19451.061117660243,19451.061117660243,19371.731124894744,19392.295769832865,19350.81756904401,19698.797846985097,19698.797846985097,19291.906375440787,19276.69511616777,19190.92452417282,19167.20958427552,19612.77623754993
2013-11-22,19601.20213756191,19601.20213756191,19601.20213756191,19601.20213756191,19521.259803600704,19500.18481786261,19499.73128360518,19499.73128360518,19499.73128360518,19499.73128360518,19420.202792470416,19440.81889396794,19399.23690702041,19748.087896218352,19748.087896218352,19340.17830667411,19324.928986006475,19238.94378006731,19215.16950098778,19661.851044746738
2013-11-25,19604.23581275381,19604.23581275381,19604.23581275381,19604.23581275381,19524.281106129252,19503.202858618697,19502.749254167833,19502.749254167833,19502.749254167833,19502.749254167833,19423.208454420113,19443.827746668652,19402.23932408308,19751.144304897665,19751.144304897665,19343.17158324583,19327.919902443056,19241.92138858613,19218.143429964897,19664.89410656114
2013-11-26,19770.121210723544,19770.121210723544,19770.121210723544,19770.121210723544,19689.489950396273,19668.233344825236,19667.775902104135,19667.775902104135,19667.775902104135,19667.775902104135,19587.5620510145,19608.35581777626,19566.415485935086,19918.272800222338,19918.272800222338,19506.847930884745,19491.467194751083,19404.740986235098,19380.761825375404,19831.292777545164
2013-11-27,19852.378882205085,19852.378882205085,19852.378882205085,19852.378882205085,19771.412138870277,19750.067090802644,19749.60774479665,19749.60774479665,19749.60774479665,19749.60774479665,19669.0601474168,19689.94043093872,19647.825597686973,20001.1468869827,20001.1468869827,19588.01019952419,19572.56546866199,19485.478417848026,19461.399486738297,19913.804965961324
2013-11-28,19893.697807956545,19893.697807956545,19893.697807956545,19893.697807956545,19812.562547847196,19791.173074148686,19790.712772101924,19790.712772101924,19790.712772101924,19790.712772101924,19709.99753031959,19730.921272153966,19688.71878494002,20042.775444853316,20042.775444853316,19628.77889247808,19613.302016365607,19526.033710528864,19501.904663734127,19955.25173834562
2013-11-29,19962.805804961077,19962.805804961077,19962.805804961077,19962.805804961077,19881.38869200734,19859.92491419008,19859.463013116692,19859.463013116692,19859.463013116692,19859.463013116692,19778.46737757644,19799.463805640495,19757.11471273322,20112.40131726661,20112.40131726661,19696.96659724765,19681.43595657525,19593.864492528475,19569.651624711136,20024.573565321738
2013-12-02,19861.685620640616,19861.685620640616,19861.685620640616,19861.685620640616,19780.68092032812,19759.32586576301,19758.86630441692,19758.86630441692,19758.86630441692,19758.86630441692,19678.28094655381,19699.17101869292,19657.03644212781,20010.523367433336,20010.523367433336,19597.193002677457,19581.74103136961,19494.61315439532,19470.522935151563,19923.140500769216
2013-12-03,19845.875568148036,19845.875568148036,19845.875568148036,19845.875568148036,19764.935348191764,19743.59729241216,19743.13809688039,19743.13809688039,19743.13809688039,19743.13809688039,19662.616885573734,19683.49032905688,19641.38929193449,19994.59483896472,19994.59483896472,19581.593488316117,19566.1538168947,19479.095294371735,19455.024251125327,19907.281529725646
2013-12-04,19930.84065956143,19930.84065956143,19930.84065956143,19930.84065956143,19849.553914546894,19828.124505284108,19827.663343822933,19827.663343822933,19827.663343822933,19827.663343822933,19746.79740133746,19767.76020918387,19725.47892713072,20080.196634281474,20080.196634281474,19665.427122919016,19649.921350453624,19562.49010890906,19538.316011585604,19992.509515215992
2013-12-05,19846.733559778124,19846.733559778124,19846.733559778124,19846.733559778124,19765.78984055416,19744.450862271882,19743.99164688783,19743.99164688783,19743.99164688783,19743.99164688783,19663.46695442837,19684.341300327727,19642.238443062037,19995.459260136762,19995.459260136762,19582.440054307077,19566.99971538632,19479.937429084657,19455.86534518103,19908.142176103865
2013-12-06,19925.51470930182,19925.51470930182,19925.51470930182,19925.51470930182,19844.249685857794,19822.826002995105,19822.364964766213,19822.364964766213,19822.364964766213,19822.364964766213,19741.52063140374,19762.477837536015,19720.20785395286,20074.83077288586,20074.83077288586,19660.172096877734,19644.67046788899,19557.262589856862,19533.094952373318,19987.167085708803
2013-12-09,19702.033741266994,19702.033741266994,19702.033741266994,19702.033741266994,19621.680171623368,19600.49677291167,19600.040905604143,19600.040905604143,19600.040905604143,19600.040905604143,19520.10330765822,19540.825461558117,19499.0295704633,19849.675102896294,19849.675102896294,19439.6671635778,19424.339398055225,19337.91187096918,19314.015293335215,19762.99463577441
2013-12-10,20007.063517904375,20007.063517904375,20007.063517904375,20007.063517904375,19925.46590250779,19903.954539309667,19903.49161419761,19903.49161419761,19903.49161419761,19903.49161419761,19822.31641063358,19843.35938796006,19800.916406747925,20156.990684753153,20156.990684753153,19740.63494237066,19725.069870133706,19637.304259394543,19613.037711440065,20068.96821792341
2013-12-11,19876.13664315083,19876.13664315083,19876.13664315083,19876.13664315083,19795.073005204842,19773.702413067535,19773.242517352475,19773.242517352475,19773.242517352475,19773.242517352475,19692.598526962265,19713.50379836031,19671.33856539846,20025.08268174065,20025.08268174065,19611.451584885825,19595.988370988125,19508.797101261807,19484.689354386854,19937.636236798367
2013-12-12,19767.098956056023,19767.098956056023,19767.098956056023,19767.098956056023,19686.48002181417,19665.226665736383,19664.769292944464,19664.769292944464,19664.769292944464,19664.769292944464,19584.567704130983,19605.35829215357,19563.424371722947,19915.22789764951,19915.22789764951,19503.86592275341,19488.487537869958,19401.77458717296,19377.799092003028,19828.261171591857
2013-12-13,19804.5764170778,19804.5764170778,19804.5764170778,19804.5764170778,19723.804633246215,19702.510981835978,19702.052741887426,19702.052741887426,19702.052741887426,19702.052741887426,19621.6990947509,19642.52910072015,19600.51567560996,19952.98620396109,19952.98620396109,19540.844306709445,19525.436765154023,19438.55941090762,19414.538459361527,19865.854593208252
2013-12-16,19857.492649493837,19857.492649493837,19857.492649493837,19857.492649493837,19776.505049964107,19755.154503633057,19754.695039304286,19754.695039304286,19754.695039304286,19754.695039304286,19674.126693697177,19695.012355763978,19652.886674167166,20006.298975369435,20006.298975369435,19593.055868177016,19577.607158912033,19490.497675375296,19466.412541782185,19918.93455597337
2013-12-17,19803.52106722114,19803.52106722114,19803.52106722114,19803.52106722114,19722.753587571005,19701.461070860725,19701.002855330946,19701.002855330946,19701.002855330946,19701.002855330946,19620.65349009413,19641.482386070245,19599.47119977907,19951.922945616814,19951.922945616814,19539.80301065727,19524.396290141714,19437.523565431504,19413.503893918234,19864.79597794904
2013-12-18,20040.698065894594,20040.698065894594,20040.698065894594,20040.698065894594,19958.963273999896,19937.41574732495,19936.952043973906,19936.952043973906,19936.952043973906,19936.952043973906,19855.64037404251,19876.718727426556,19834.204393889926,20190.877280350654,20190.877280350654,19773.8215883136,19758.23034910973,19670.317192647843,19646.009849382703,20102.706835988774
2013-12-19,20065.119164018284,20065.119164018284,20065.119164018284,20065.119164018284,19983.284772131286,19961.710988174207,19961.24671976575,19961.24671976575,19961.24671976575,19961.24671976575,19879.835965447997,19900.94000439123,19858.37386394111,20215.48138314415,20215.48138314415,19797.917477373987,19782.30723907232,19694.286953816154,19669.94999022476,20127.20349646333
2013-12-20,20199.6176607566,20199.6176607566,20199.6176607566,20199.6176607566,20117.234724771748,20095.51632958722,20095.048949141274,20095.048949141274,20095.048949141274,20095.048949141274,20013.092490410574,20034.337991833534,19991.48652629485,20350.987772847042,20350.987772847042,19930.62489453357,19914.91001924629,19826.299725231507,19801.799628543748,20262.11815067954
2013-12-23,20042.23586773229,20042.23586773229,20042.23586773229,20042.23586773229,19960.49480400451,19938.94562390282,19938.48188496999,19938.48188496999,19938.48188496999,19938.48188496999,19857.16397567332,19878.243946482595,19835.726350653404,20192.426606032044,20192.426606032044,19775.338911666153,19759.74647608498,19671.826573699716,19647.517365236214,20104.249396004067
2013-12-24,20427.72052082664,20427.72052082664,20427.72052082664,20427.72052082664,20344.407280930358,20322.443632190003,20321.97097388097,20321.97097388097,20321.97097388097,20321.97097388097,20239.08902720531,20260.57444206226,20217.23907915425,20580.799969998447,20580.799969998447,20155.690171400594,20139.797836912905,20050.186916953815,20025.4101545281,20490.926793440452
2013-12-25,20415.119222096677,20415.119222096677,20415.119222096677,20415.119222096677,20331.85737584576,20309.90727587599,20309.434909136864,20309.434909136864,20309.434909136864,20309.434909136864,20226.604090053657,20248.07625114934,20204.767620634353,20568.1042407682,20568.1042407682,20143.2566807084,20127.37414976459,20037.818508316417,20013.057029993724,20478.286504500004
2013-12-26,20534.308743171707,20534.308743171707,20534.308743171707,20534.308743171707,20450.560789567193,20428.48253840347,20428.00741384722,20428.00741384722,20428.00741384722,20428.00741384722,20344.69300387486,20366.29052581559,20322.729046670465,20688.186933757082,20688.186933757082,20260.85898763328,20244.883729763114,20154.805235918262,20129.89919274095,20597.844814904915
2013-12-27,20446.753704384853,20446.753704384853,20446.753704384853,20446.753704384853,20363.36283878451,20341.378725785416,20340.905627084987,20340.905627084987,20340.905627084987,20340.905627084987,20257.94645655545,20279.45189008479,20236.07615018435,20599.97578274782,20599.97578274782,20174.469895275488,20158.562753373575,20068.868339953395,20044.0684921978,20510.018868375584
2013-12-30,20496.12315553006,20496.12315553006,20496.12315553006,20496.12315553006,20412.530939567463,20390.49374510574,20390.019504090815,20390.019504090815,20390.019504090815,20390.019504090815,20306.860025542916,20328.41738474541,20284.93691249954,20649.715194328866,20649.715194328866,20223.18190698528,20207.23635669462,20117.32537276034,20092.465644845284,20559.541075624176
2013-12-31,20587.15182432023,20587.15182432023,20587.15182432023,20587.15182432023,20503.188353360652,20481.05328592751,20480.576938683622,20480.576938683622,20480.576938683622,20480.576938683622,20397.048127039314,20418.701228138743,20375.027647690073,20741.4260057234,20741.4260057234,20312.99837196869,20296.98200329911,20206.671701058873,20181.701564559648,20650.851400062093
2014-01-02,20443.722200595188,20443.722200595188,20443.722200595188,20443.722200595188,20360.343698802255,20338.36284524096,20337.889816683724,20337.889816683724,20337.889816683724,20337.889816683724,20254.942945957057,20276.445191019207,20233.0758821504,20596.921561742598,20596.921561742598,20171.478761190032,20155.573977733955,20065.892862706172,20041.096691858584,20506.977984682035
2014-01-03,20582.044662979974,20582.044662979974,20582.044662979974,20582.044662979974,20498.102021273342,20475.972445000985,20475.49621592702,20475.49621592702,20475.49621592702,20475.49621592702,20391.988125707474,20413.63585521001,20369.973109092556,20736.28057278823,20736.28057278823,20307.95922129475,20291.946825888666,20201.658927392673,20176.694985364487,20645.728436438287
2014-01-06,20549.796892647086,20549.796892647086,20549.796892647086,20549.796892647086,20465.9857715486,20443.890867705773,20443.41538478342,20443.41538478342,20443.41538478342,20443.41538478342,20360.03813432049,20381.651946346865,20338.057610644017,20703.791146960077,20703.791146960077,20276.140885671568,20260.153578348716,20170.00714215456,20145.08231341576,20613.380886917566
2014-01-07,20575.79416157227,20575.79416157227,20575.79416157227,20575.79416157227,20491.877012162866,20469.7541563573,20469.27807190796,20469.27807190796,20469.27807190796,20469.27807190796,20385.795342017966,20407.43649738436,20363.78701107955,20729.98323192472,20729.98323192472,20301.79195609934,20285.784423451147,20195.523944225,20170.567583423915,20639.45859509025
2014-01-08,20548.366968786147,20548.366968786147,20548.366968786147,20548.366968786147,20464.56167954685,20442.468313141613,20441.99286330496,20441.99286330496,20441.99286330496,20441.99286330496,20358.62141451104,20380.233722575813,20336.64242031321,20702.35050766191,20702.35050766191,20274.730003714358,20258.743808842028,20168.603645339554,20143.68055095402,20611.94653866883
2014-01-09,20462.74940137018,20462.74940137018,20462.74940137018,20462.74940137018,20379.29329827361,20357.291986886205,20356.818518076005,20356.818518076005,20356.818518076005,20356.818518076005,20273.794447769556,20295.316705211542,20251.90703204218,20616.0913468755,20616.0913468755,20190.252581952795,20174.33299573697,20084.56841349296,20059.749164571986,20526.064058322365
2014-01-10,20503.207049925124,20503.207049925124,20503.207049925124,20503.207049925124,20419.5859427217,20397.541131738693,20397.066726816025,20397.066726816025,20397.066726816025,20397.066726816025,20313.878506590518,20335.443316473065,20291.94781645481,20656.852173386556,20656.852173386556,20230.171467102293,20214.220405691634,20124.27834661644,20099.410026652735,20566.64688859601
2014-01-13,20363.25149065849,20363.25149065849,20363.25149065849,20363.25149065849,20280.201183857003,20258.30685147193,20257.835684852722,20257.835684852722,20257.835684852722,20257.835684852722,20175.21531012854,20196.632917916304,20153.434319598146,20515.8478275018,20515.8478275018,20092.07965761883,20076.237478673007,19986.909367023152,19962.21079902167,20426.258286923894
2014-01-14,20538.618898066004,20538.618898066004,20538.618898066004,20538.618898066004,20454.85336575179,20432.7704803594,20432.295256074427,20432.295256074427,20432.295256074427,20432.295256074427,20348.96335839326,20370.565413657514,20326.994790950514,20692.529387709725,20692.529387709725,20265.111745377413,20249.13313429792,20159.035732961893,20134.12446200189,20602.168306031468
2014-01-15,20524.771190526684,20524.771190526684,20524.771190526684,20524.771190526684,20441.062135261836,20418.994138764363,20418.519234888805,20418.519234888805,20418.519234888805,20418.519234888805,20335.243521888482,20356.83101244685,20313.289766264315,20678.577909441792,20678.577909441792,20251.448443960002,20235.480606104073,20145.44395093944,20120.54947585049,20588.277751715537
