Date,Strategy,Variant,Segment,Raw Segment Weight
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Consumer Staples,0.021539000099082335
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Energy,5.109153186002974e-16
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Consumer Discretionary,6.0449736957713845e-16
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Information Technology,0.2000000000000006
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Communication Services,0.15
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Health Care,0.14999999999999974
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Financials,0.09999999999999971
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Industrials,0.04999999999999979
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Consumer Staples,0.021538999081209386
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Consumer Discretionary,6.672585201389241e-16
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Energy,2.287348736096911e-16
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Information Technology,0.1999999999999996
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Health Care,0.1500000000000006
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Communication Services,0.15000000000000002
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Industrials,0.05000000000000016
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Financials,0.09999999999999981
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Consumer Staples,0.021539000099082335
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Energy,5.109153186002974e-16
2017-08-31,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Consumer Discretionary,6.0449736957713845e-16
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Financials,0.10000000000000119
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Information Technology,0.19999999999999912
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Health Care,0.19999999999999926
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Energy,0.1823258257079497
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Consumer Discretionary,0.15269056819827784
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Real Estate,0.03383710417993091
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Consumer Staples,0.031146501913842013
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Communication Services,2.6618537063682565e-16
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Industrials,2.6432467806606166e-17
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Information Technology,0.19999999999999934
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Financials,0.10000000000000071
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Health Care,0.19999999999999893
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Energy,0.18232582517850765
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Consumer Discretionary,0.15269056539582967
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Real Estate,0.03383710839829883
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Consumer Staples,0.031146501027364507
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Industrials,2.79929704474804e-16
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Communication Services,2.445508098326636e-16
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Health Care,0.19999999999999962
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Financials,0.1000000000000007
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Information Technology,0.19999999999999926
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Energy,0.18232580617974334
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Consumer Discretionary,0.15269056014309051
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Real Estate,0.03383711601581653
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Consumer Staples,0.031146517661349144
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Industrials,5.390639503828757e-16
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Communication Services,5.659719063674423e-16
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Information Technology,0.1999999999999994
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Consumer Discretionary,0.15269055564532363
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Financials,0.09999999999999974
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Health Care,0.19999999999999937
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Energy,0.18232583764358914
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Real Estate,0.033837106908852915
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Consumer Staples,0.031146499802235595
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Communication Services,4.26604207328687e-16
2017-09-30,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure,all_us_plus_th_segments,Industrials,1.5600483027339684e-16
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Financials,0.19270638970850318
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Consumer Discretionary,0.23615696326736754
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Information Technology,0.19999999999999676
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Consumer Staples,0.1331990698068185
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Communication Services,0.050000000000000946
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Real Estate,0.044139733495075294
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Energy,0.04379784372223592
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Industrials,1.3503275782461126e-15
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,it_only,Health Care,2.5974155444295016e-15
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Financials,0.19270639358160951
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Information Technology,0.19999999999999835
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Consumer Discretionary,0.2361569659818311
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Consumer Staples,0.13319908141843737
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Communication Services,0.04999999999999956
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Real Estate,0.04413973133993323
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Energy,0.04379782767818952
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Industrials,9.025528057404498e-16
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,all_segments,Health Care,1.1066614479862385e-15
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Financials,0.19270638946739305
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Consumer Staples,0.13319908257195015
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Information Technology,0.19999999999999926
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Consumer Discretionary,0.2361569553839576
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Communication Services,0.05000000000000197
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Real Estate,0.04413975056490411
2017-10-31,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,it_plus_th_segments,Energy,0.04379782201179491
