Total Return,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Hit Rate,Strategy,Model Type,Allocation Profile,Equity Budget,Gold Budget,BTC Budget,Start,End,Average US Weight,Average TH Weight,Average JP Weight,Average Gold Weight,Average BTC Weight,Average Cash Weight,JP Sleeve Mode,JP Assets,JP Internal Cap,JP Objective,Latest JP Internal Max Weight,Average JP Internal Max Weight
0.4828247653665052,0.2717267164609767,0.10948043674826323,1.9826961661984122,2.8525980709764442,-0.06854201678680805,0.5703883495145631,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + daily exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13292978208232442,0.0791767554479419,0.12082324455205809,0.29999999999999993,0.05641646489104116,0.3106537530266344,JP optimized mean_variance top15 cap10%,15,0.1,mean_variance,0.10000000000000009,0.10000000000000005
0.4862199990011018,0.2735026653180226,0.1106993037914344,1.9747390593739012,2.7488631769779284,-0.06998766793123057,0.5703883495145631,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13232445520581113,0.07869249394673124,0.11452784503631959,0.29999999999999993,0.05641646489104116,0.31803874092009693,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12,min_vol_mom_tilt,0.12000000000000002,0.12000000000000004
0.4883304015146994,0.27460575901242934,0.11132823704569969,1.9720031951214838,2.817170643980216,-0.07110678032425721,0.5679611650485437,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + daily exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13292978208232442,0.0791767554479419,0.12082324455205809,0.29999999999999993,0.05641646489104116,0.3106537530266344,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12,min_vol_mom_tilt,0.12000000000000002,0.12000000000000004
0.4860773529145095,0.27342808311063616,0.11088905371734954,1.971021182210431,2.740518548031747,-0.07000153831806244,0.5679611650485437,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13232445520581113,0.07869249394673124,0.11452784503631959,0.29999999999999993,0.05641646489104116,0.31803874092009693,JP optimized mean_variance top15 cap12%,15,0.12,mean_variance,0.12000000000000005,0.11999999999999998
0.488796579728223,0.274849345096877,0.11153174282576128,1.9703289009442282,2.8104709680908697,-0.07112063225204845,0.5655339805825242,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + daily exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13292978208232442,0.0791767554479419,0.12082324455205809,0.29999999999999993,0.05641646489104116,0.3106537530266344,JP optimized mean_variance top15 cap12%,15,0.12,mean_variance,0.12000000000000005,0.11999999999999998
0.47577997626457624,0.2680367253566329,0.10888948120177158,1.9661001562428495,2.7522750402866416,-0.0674194177135875,0.5728155339805825,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13232445520581113,0.07869249394673124,0.11452784503631959,0.29999999999999993,0.05641646489104116,0.31803874092009693,JP optimized mean_variance top15 cap10%,15,0.1,mean_variance,0.10000000000000009,0.10000000000000005
0.457894690052975,0.25863760785123313,0.10654740817716189,1.9368842676212374,2.7238312221123686,-0.06565532288359,0.5728155339805825,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13232445520581113,0.07869249394673124,0.11452784503631959,0.29999999999999993,0.05641646489104116,0.31803874092009693,JP optimized mean_variance top20 cap8%,20,0.08,mean_variance,0.08000000000000004,0.08000000000000004
0.45987332046474116,0.2596796250561373,0.10712625664341051,1.9347354146228177,2.79809330946969,-0.0667800126271828,0.5679611650485437,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + daily exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13292978208232442,0.0791767554479419,0.12082324455205809,0.29999999999999993,0.05641646489104116,0.3106537530266344,JP optimized mean_variance top20 cap8%,20,0.08,mean_variance,0.08000000000000004,0.08000000000000004
0.4661091264181281,0.26296002650853767,0.11028701501352889,1.9060811082873066,2.6505431480264288,-0.07094480037632889,0.5703883495145631,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13232445520581113,0.07869249394673124,0.11452784503631959,0.29999999999999993,0.05641646489104116,0.31803874092009693,JP optimized mean_variance top20 cap12%,20,0.12,mean_variance,0.11999999999999994,0.11999999999999987
0.45429243866204283,0.25673911744896394,0.10880054837980443,1.885088410179158,2.629250165874072,-0.07090641122936292,0.5655339805825242,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13232445520581113,0.07869249394673124,0.11452784503631959,0.29999999999999993,0.05641646489104116,0.31803874092009693,JP optimized min_vol_mom_tilt top20 cap10%,20,0.1,min_vol_mom_tilt,0.10000000000000003,0.09999999999999999
0.46206864004170445,0.2608351144061323,0.11097133118985725,1.8797730714389456,2.6889728841285354,-0.07206257588163911,0.5703883495145631,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + daily exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13292978208232442,0.0791767554479419,0.12082324455205809,0.29999999999999993,0.05641646489104116,0.3106537530266344,JP optimized mean_variance top20 cap12%,20,0.12,mean_variance,0.11999999999999994,0.11999999999999987
0.45232226497945605,0.25570000361826106,0.10885176765961384,1.8766295496867167,2.615007980594494,-0.07133472845717959,0.5679611650485437,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13232445520581113,0.07869249394673124,0.11452784503631959,0.29999999999999993,0.05641646489104116,0.31803874092009693,JP optimized mean_variance top20 cap10%,20,0.1,mean_variance,0.0999999999999999,0.09999999999999996
0.45207717427222827,0.2555706988558706,0.10944828684184246,1.8660406801850653,2.6751036993547492,-0.07202471314062842,0.5679611650485437,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + daily exposure all assets + gold drawdown 252d warn10 crash20,Index signal assignment + exposure,Stock60/Gold30/BTC10,0.6,0.3,0.1,2024-07-01,2026-01-30,0.13292978208232442,0.0791767554479419,0.12082324455205809,0.29999999999999993,0.05641646489104116,0.3106537530266344,JP optimized min_vol_mom_tilt top20 cap10%,20,0.1,min_vol_mom_tilt,0.10000000000000003,0.09999999999999999
