Date,S&P 500 Buy Hold
2016-09-15,10820.597929071137
2016-09-16,10778.76983592424
2016-09-19,10780.79226949017
2016-09-20,10781.292489515137
2016-09-21,10902.537022568276
2016-09-22,10971.237797594995
2016-09-23,10911.125180734794
2016-09-26,10822.720945478712
2016-09-27,10889.908487575325
2016-09-28,10943.96098822642
2016-09-29,10844.945263176802
2016-09-30,10926.784671893383
2016-10-03,10900.516385124516
2016-10-04,10844.945263176802
2016-10-05,10892.935851496619
2016-10-06,10900.516385124516
2016-10-07,10863.131898231719
2016-10-10,10919.711542779143
2016-10-11,10781.800792089882
2016-10-12,10795.94705031837
2016-10-13,10760.582302808243
2016-10-14,10766.141300931298
2016-10-17,10728.758610160672
2016-10-18,10795.947050318371
2016-10-19,10824.742480983565
2016-10-20,10804.53251430163
2016-10-21,10809.582311788858
2016-10-24,10855.55405878709
2016-10-25,10819.179890616171
2016-10-26,10797.461181309565
2016-10-27,10768.66754676654
2016-10-28,10736.841159935708
2016-10-31,10737.344074143934
2016-11-01,10659.553124803559
2016-11-02,10595.393844689324
2016-11-03,10546.897647978025
2016-11-04,10535.28032976804
2016-11-07,10767.656329983574
2016-11-08,10816.152526694876
2016-11-09,10930.825048719826
2016-11-10,10958.103654210568
2016-11-11,10932.847482285755
2016-11-14,10941.432946269017
2016-11-15,11026.807123420547
2016-11-16,11006.096936713648
2016-11-17,11062.6747851389
2016-11-18,11037.919731300137
2016-11-21,11121.273271007907
2016-11-22,11142.99557255886
2016-11-23,11149.057484890136
2016-11-25,11190.482348609368
2016-11-28,11137.943080888377
2016-11-29,11159.668076622587
2016-11-30,11132.895079523323
2016-12-01,11091.976722256662
2016-12-02,11097.530332013197
2016-12-05,11164.214959901587
2016-12-06,11199.576115167367
2016-12-07,11346.075922084234
2016-12-08,11373.856543722119
2016-12-09,11442.55821680992
2016-12-12,11429.42586954766
2016-12-13,11505.707178202274
2016-12-14,11410.736320284517
2016-12-15,11457.716589882457
2016-12-16,11435.304577417366
2016-12-19,11460.208709396424
2016-12-20,11504.412174116094
2016-12-21,11472.402582823695
2016-12-22,11452.585068836393
2016-12-23,11469.353665436334
2016-12-27,11497.807832888804
2016-12-28,11402.784887428055
2016-12-29,11400.24337455435
2016-12-30,11358.576932402953
2017-01-03,11445.472425034362
2017-01-04,11513.560722400349
2017-01-05,11504.412174116094
2017-01-06,11545.574803998177
2017-01-09,11507.4646837478
2017-01-10,11507.4646837478
2017-01-11,11539.9852717982
2017-01-12,11511.021005648814
2017-01-13,11537.441064741233
2017-01-17,11496.792125800408
2017-01-18,11522.200070048775
2017-01-19,11479.517022747897
2017-01-20,11521.692665535122
2017-01-23,11491.712692297342
2017-01-24,11565.393216046568
2017-01-25,11665.500085315816
2017-01-26,11653.300823522028
2017-01-27,11635.009115320036
2017-01-30,11562.850805111775
2017-01-31,11561.835098023379
2017-02-01,11566.408025073877
2017-02-02,11574.030767572822
2017-02-03,11653.808228035683
2017-02-06,11632.9741088989
2017-02-07,11633.484207595815
2017-02-08,11648.729692593703
2017-02-09,11717.836391231342
2017-02-10,11764.077556555409
2017-02-13,11828.103923628894
2017-02-14,11875.362592163527
2017-02-15,11937.354850876964
2017-02-16,11927.190595504313
2017-02-17,11945.993300464304
2017-02-21,12017.13141327874
2017-02-22,12006.462447575692
2017-02-23,12014.592594588294
2017-02-24,12029.83628346401
2017-02-27,12048.63449811857
2017-02-28,12016.117502312516
2017-03-01,12184.313567008836
2017-03-02,12107.58412587225
2017-03-03,12115.208664493366
2017-03-06,12079.12726423652
2017-03-07,12043.052150407279
2017-03-08,12020.69312354627
2017-03-09,12035.936812421987
2017-03-10,12078.108862964864
2017-03-13,12084.207595800672
2017-03-14,12037.96553241552
2017-03-15,12142.13792422161
2017-03-16,12118.253091575292
2017-03-17,12096.973534139797
2017-03-20,12083.705579653531
2017-03-21,11928.554750294117
2017-03-22,11956.623649540643
2017-03-23,11943.866691812376
2017-03-24,11935.191421720505
2017-03-27,11922.940072383723
2017-03-28,12009.700855852218
2017-03-29,12020.930211673
2017-03-30,12059.205575163225
2017-03-31,12031.13847203887
2017-04-03,12010.214546793477
2017-04-04,12017.865129186092
2017-04-05,11982.142953363693
2017-04-06,12015.827428581699
2017-04-07,12003.576977306004
2017-04-10,12010.721951307132
2017-04-11,11996.430207182697
2017-04-12,11943.866691812382
2017-04-13,11866.290379071588
2017-04-17,11971.426390423081
2017-04-18,11935.700622356338
2017-04-19,11913.754703594943
2017-04-20,12010.721951307132
2017-04-21,11972.445689755821
2017-04-24,12104.117610079844
2017-04-25,12174.546254636247
2017-04-26,12166.89207999929
2017-04-27,12177.098544242986
2017-04-28,12150.561737209371
2017-05-01,12181.181129940464
2017-05-02,12185.775610457029
2017-05-03,12170.971073452421
2017-05-04,12185.263715637942
2017-05-05,12233.23544467495
2017-05-08,12231.197744070556
2017-05-09,12219.967490188688
2017-05-10,12241.914307011168
2017-05-11,12216.905999946122
2017-05-12,12196.491275336553
2017-05-15,12263.858429650392
2017-05-16,12252.632666073952
2017-05-17,12035.220159675266
2017-05-18,12083.705579653535
2017-05-19,12162.295803360552
2017-05-22,12224.05007588617
2017-05-23,12251.099675799955
2017-05-24,12279.680469865569
2017-05-25,12338.370557965362
2017-05-26,12335.820962541882
2017-05-30,12325.102603479098
2017-05-31,12322.038419053271
2017-06-01,12420.026762220374
2017-06-02,12461.365412075336
2017-06-05,12452.179145225466
2017-06-06,12412.372587583415
2017-06-07,12435.337805677551
2017-06-08,12441.463480345943
2017-06-09,12422.579051827113
2017-06-12,12420.026762220376
2017-06-13,12480.762633474338
2017-06-14,12464.93879713699
2017-06-15,12440.954279710115
2017-06-16,12443.66911837344
2017-06-19,12547.266751084417
2017-06-20,12462.644251061965
2017-06-21,12459.569289903107
2017-06-22,12453.926772099047
2017-06-23,12468.803153990542
2017-06-26,12477.006043951118
2017-06-27,12376.486964643344
2017-06-28,12487.262799615637
2017-06-29,12377.513448464771
2017-06-30,12400.59092419467
2017-07-03,12421.621718709313
2017-07-05,12450.33542581567
2017-07-06,12336.48642580669
2017-07-07,12416.489299602164
2017-07-10,12429.82460866989
2017-07-11,12420.590744582454
2017-07-12,12513.928029384564
2017-07-13,12534.957925838122
2017-07-14,12593.4226006053
2017-07-17,12591.884221964785
2017-07-18,12598.550529407015
2017-07-19,12666.75737083637
2017-07-20,12672.400786701519
2017-07-21,12661.115751093397
2017-07-24,12658.039891873452
2017-07-25,12688.811056928098
2017-07-26,12689.323849808266
2017-07-27,12677.528715503233
2017-07-28,12662.655925856081
2017-07-31,12655.475029411506
2017-08-01,12683.682230065295
2017-08-02,12689.836642688439
2017-08-03,12665.220788318025
2017-08-04,12688.300060170097
2017-08-07,12711.88943071908
2017-08-08,12680.604574723175
2017-08-09,12680.092679904092
2017-08-10,12501.109105441357
2017-08-11,12519.575037494054
2017-08-14,12643.678997045383
2017-08-15,12642.141516465954
2017-08-16,12664.193406435512
