Asset,Effective Weight,Date,Strategy,Case
XOM,0.04999999999999673,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
COST,0.04999999999999673,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
TXN,0.04999999999999673,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
MU,0.04999999999999673,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
AMAT,0.04999999999999673,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
LRCX,0.04999999999999673,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
JNJ,0.04999999999999673,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
INTC,0.04999999999999673,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
GEV,0.04999999999999673,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
CVX,0.04999999999999673,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
WMT,0.04999999999999673,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
PTTEP.BK,0.04342604833591794,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
BCP.BK,0.04318212639788418,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
TOP.BK,0.04298313546848935,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
HANA.BK,0.04270823001208903,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
DELTA.BK,0.042682974798076596,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
IVL.BK,0.04266798472208287,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
PTTGC.BK,0.04234950026549749,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 30% + daily exposure,AI-tech cap 30%
AMAT,0.04999999999999904,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
MRK,0.04999999999999904,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
XOM,0.04999999999999904,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
COST,0.04999999999999904,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
TXN,0.04999999999999904,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
MU,0.04999999999999904,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
WMT,0.04999999999999904,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
LRCX,0.04999999999999904,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
JNJ,0.04999999999999904,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
INTC,0.04999999999999904,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
GEV,0.04999999999999904,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
CVX,0.04999999999999904,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
GC=F,0.04999999999999872,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
Cash / Reduced Exposure,0.04999999999999871,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
PTTEP.BK,0.04342604940269506,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
BCP.BK,0.04318212746466607,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
TOP.BK,0.04298313280150933,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
HANA.BK,0.04270822734511882,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
DELTA.BK,0.04268297586485855,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
IVL.BK,0.04266798578887478,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
PTTGC.BK,0.0423495013322844,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 25% + daily exposure,AI-tech cap 25%
XOM,0.04999999999999932,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
GC=F,0.04999999999999908,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
Cash / Reduced Exposure,0.049999999999999045,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
MU,0.04999999999999898,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
COST,0.049999999999998816,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
INTC,0.04999999999999862,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
TXN,0.04999999999999823,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
WMT,0.049999999999998115,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
MRK,0.049999999999997886,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
JNJ,0.04999999999999773,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
AMAT,0.04999999999999758,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
