Date,TH Tactical Weight,US Count,TH Count,US Selected,TH Selected
2019-01-31,0.3,50,50,"AAPL,ADBE,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CHTR,CMCSA,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,IBM,INTC,JNJ,JPM,LRCX,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,PYPL,QCOM,SBUX,T,UNH,UNP,V,VZ,WFC,WMT,XOM","ADVANC.BK,AMATA.BK,AOT.BK,BANPU.BK,BBL.BK,BCH.BK,BCPG.BK,BDMS.BK,BEAUTY.BK,BEM.BK,BGRIM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CENTEL.BK,CK.BK,COM7.BK,CPALL.BK,CPF.BK,CPN.BK,EA.BK,EGCO.BK,GPSC.BK,HMPRO.BK,IRPC.BK,IVL.BK,KBANK.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,MTC.BK,PTG.BK,PTT.BK,PTTEP.BK,PTTGC.BK,QH.BK,RS.BK,SAWAD.BK,SCC.BK,SPRC.BK,TCAP.BK,TISCO.BK,TOP.BK,TRUE.BK,TU.BK,WHA.BK,WORK.BK"
2019-02-28,0.3,50,50,"AAPL,ADBE,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CMCSA,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,IBM,INTC,JNJ,JPM,LRCX,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM","ADVANC.BK,AMATA.BK,AOT.BK,BANPU.BK,BBL.BK,BCH.BK,BCPG.BK,BDMS.BK,BEAUTY.BK,BEM.BK,BGRIM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CENTEL.BK,CK.BK,COM7.BK,CPALL.BK,CPF.BK,CPN.BK,EA.BK,EGCO.BK,GLOBAL.BK,GPSC.BK,HMPRO.BK,IRPC.BK,IVL.BK,KBANK.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,MTC.BK,PTG.BK,PTT.BK,PTTEP.BK,PTTGC.BK,QH.BK,RS.BK,SAWAD.BK,SCC.BK,SPRC.BK,TCAP.BK,TISCO.BK,TOP.BK,TRUE.BK,TU.BK,WHA.BK"
2019-03-31,0.0,50,0,"AAPL,ADBE,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CMCSA,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,IBM,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM",
2019-04-30,0.0,50,0,"AAPL,ADBE,AMAT,AMD,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CMCSA,CRM,CSCO,CVS,CVX,DIS,GE,GOOG,GS,HD,IBM,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM",
2019-05-31,0.0,50,0,"AAPL,ADBE,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CMCSA,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM",
2019-06-30,0.3,50,50,"AAPL,ADBE,AMAT,AMD,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CMCSA,CRM,CSCO,CVX,DD,DIS,GE,GOOG,GS,HD,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM","ADVANC.BK,AMATA.BK,AOT.BK,BANPU.BK,BBL.BK,BCH.BK,BCPG.BK,BDMS.BK,BEAUTY.BK,BEM.BK,BGRIM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CENTEL.BK,CK.BK,COM7.BK,CPALL.BK,CPF.BK,CPN.BK,EA.BK,EGCO.BK,GLOBAL.BK,GPSC.BK,HMPRO.BK,IRPC.BK,IVL.BK,KBANK.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,MTC.BK,PTG.BK,PTT.BK,PTTEP.BK,PTTGC.BK,QH.BK,RS.BK,SAWAD.BK,SCC.BK,SPRC.BK,TCAP.BK,TISCO.BK,TOP.BK,TRUE.BK,TU.BK,WHA.BK"
2019-07-31,0.3,50,50,"AAPL,ADBE,AMD,AMGN,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CMCSA,CRM,CSCO,CVX,DD,DIS,GE,GOOG,GS,HD,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM","ADVANC.BK,AMATA.BK,AOT.BK,BANPU.BK,BBL.BK,BCH.BK,BCPG.BK,BDMS.BK,BEAUTY.BK,BEM.BK,BGRIM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CENTEL.BK,CK.BK,CKP.BK,COM7.BK,CPALL.BK,CPF.BK,CPN.BK,EA.BK,EGCO.BK,GLOBAL.BK,GPSC.BK,HMPRO.BK,IRPC.BK,IVL.BK,KBANK.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,MTC.BK,PTG.BK,PTT.BK,PTTEP.BK,PTTGC.BK,QH.BK,RS.BK,SAWAD.BK,SCC.BK,SPRC.BK,TISCO.BK,TOP.BK,TRUE.BK,TU.BK,WHA.BK"
2019-08-31,0.0,50,0,"AAPL,ADBE,AMD,AMGN,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CMCSA,CRM,CSCO,CVX,DD,DIS,GE,GOOG,GS,HD,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM",
2019-09-30,0.0,50,0,"AAPL,ADBE,AMD,AMGN,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CMCSA,COST,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM",
2019-10-31,0.0,50,0,"AAPL,ADBE,AMD,AMGN,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CMCSA,COST,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM",
2019-11-30,0.0,50,0,"AAPL,ADBE,AMD,AMGN,AMZN,AVGO,BA,BAC,BKNG,BRK-B,C,CAT,CMCSA,COST,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM",
2019-12-31,0.0,50,0,"AAPL,ADBE,AMD,AMZN,AVGO,BA,BAC,BKNG,BMY,BRK-B,C,CAT,CMCSA,COST,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM",
2020-01-31,0.0,50,0,"AAPL,ADBE,AMD,AMZN,AVGO,BA,BAC,BKNG,BMY,BRK-B,C,CAT,CMCSA,COST,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM",
2020-02-29,0.0,50,0,"AAPL,ADBE,AMD,AMZN,AVGO,BA,BAC,BKNG,BMY,BRK-B,C,CAT,CMCSA,COST,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM",
2020-03-31,0.0,50,0,"AAPL,ADBE,AMD,AMZN,AVGO,BA,BAC,BKNG,BMY,BRK-B,C,CAT,CMCSA,COST,CRM,CSCO,CVX,DIS,GE,GOOG,GS,HD,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM",
2020-04-30,0.0,50,0,"AAPL,ADBE,AMD,AMZN,AVGO,BA,BAC,BKNG,BMY,BRK-B,C,CHTR,CMCSA,COST,CRM,CSCO,CVX,DIS,GE,GOOG,HD,INTC,JNJ,JPM,KO,MA,MCD,MRK,MSFT,MU,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PYPL,QCOM,SBUX,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM",
